,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
0,SI,2024-08-21,88.7,3.41,4.64,"Cortes, Nestor",647304,641482,field_out,hit_into_play,,,,,5,"Josh Naylor grounds out, third baseman Oswald Peraza to first baseman Ben Rice.",R,L,L,NYY,CLE,X,5.0,ground_ball,2,2,2024,0.84,1.2,-0.16,2.18,,,,2,7,Top,102.06,153.87,,,,,-10.399189312720557,-128.82003776009546,-2.468772547967533,11.463955765491733,25.261924596090743,-18.457443316983834,3.09,1.43,107.0,58.8,13.0,88.2,2082,6.0,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.54,0.16,0.134,0.0,1.0,0.0,0.0,1.0,51,7,Sinker,7,0,0,7,0,7,0,7,Infield shade,Standard,116,0.0,-0.084,67.2,7.0,0.176,0.084,88.0,7,-7,0.997,0.003,29,27,30,27,3,2,8.0,1.0,5,1,1.7,0.84,0.84,14.4
1,FF,2024-08-21,93.4,0.58,5.87,"Cortes, Nestor",647304,641482,,foul,,,,,11,"Josh Naylor grounds out, third baseman Oswald Peraza to first baseman Ben Rice.",R,L,L,NYY,CLE,S,,,2,2,2024,0.25,1.5,-1.03,3.26,,,,2,7,Top,,,,,,,-4.6725195859497966,-135.93880031853456,-4.273383945734925,4.052891949109973,28.858394310363437,-12.839237631938952,3.09,1.43,239.0,74.7,33.0,93.2,2128,6.1,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.43,,,,,,,,51,6,4-Seam Fastball,7,0,0,7,0,7,0,7,Infield shade,Standard,162,0.0,0.0,62.0,7.3,,0.0,88.0,7,-7,0.997,0.003,29,27,30,27,3,2,8.0,1.0,5,1,1.11,0.25,0.25,56.3
2,FF,2024-08-21,94.0,0.7,5.85,"Cortes, Nestor",647304,641482,,foul,,,,,12,"Josh Naylor grounds out, third baseman Oswald Peraza to first baseman Ben Rice.",R,L,L,NYY,CLE,S,,,2,2,2024,0.45,1.58,0.35,3.33,,,,2,7,Top,,,,,,,-1.909713296349251,-136.8720208711045,-4.327835453168695,6.110423053659703,29.94514701339487,-11.539188547570658,3.09,1.43,155.0,75.2,74.0,93.7,2264,6.1,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.43,,,,,,,,51,5,4-Seam Fastball,7,0,0,7,0,7,0,7,Infield shade,Standard,161,0.0,0.0,68.2,6.9,,0.0,88.0,7,-7,0.997,0.003,29,27,30,27,3,2,8.0,1.0,5,1,0.99,0.45,0.45,55.9
3,FC,2024-08-21,85.9,1.22,5.57,"Cortes, Nestor",647304,641482,,swinging_strike,,,,,4,"Josh Naylor grounds out, third baseman Oswald Peraza to first baseman Ben Rice.",R,L,L,NYY,CLE,S,,,2,1,2024,-0.51,0.18,-0.59,2.06,,,,2,7,Top,,,,,,,-3.244278721765886,-125.22599681920173,-2.455392987606664,-4.73203900855257,23.77284192205765,-30.0564041411029,3.09,1.43,,,,85.7,2368,5.9,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.59,,,,,,,,51,4,Cutter,7,0,0,7,0,7,0,7,Infield shade,Standard,208,0.0,-0.032,68.3,8.4,,0.032,,7,-7,0.997,0.003,29,27,30,27,3,2,8.0,1.0,5,1,2.89,-0.51,-0.51,41.6
4,ST,2024-08-21,71.1,2.68,4.86,"Cortes, Nestor",647304,641482,,ball,,,,,13,"Josh Naylor grounds out, third baseman Oswald Peraza to first baseman Ben Rice.",R,L,L,NYY,CLE,B,,,1,1,2024,-1.87,0.14,-0.06,1.07,,,,2,7,Top,,,,,,,-2.206533329512125,-103.39439657660664,-0.0055446996964676,-12.819859913293804,19.951646751766795,-31.453556084555792,2.95,1.46,,,,69.6,2613,5.5,745704,669224,700250,650402,672724,683011,657077,592450,665742,55.01,,,,,,,,51,3,Sweeper,7,0,0,7,0,7,0,7,Infield shade,Standard,291,0.0,0.023,,,,-0.023,,7,-7,0.997,0.003,29,27,30,27,3,2,8.0,1.0,5,1,4.44,-1.87,-1.87,16.5
5,FF,2024-08-21,93.7,0.74,5.96,"Cortes, Nestor",647304,641482,,ball,,,,,11,"Josh Naylor grounds out, third baseman Oswald Peraza to first baseman Ben Rice.",R,L,L,NYY,CLE,B,,,0,1,2024,0.36,1.65,-0.79,4.02,,,,2,7,Top,,,,,,,-4.711638030519152,-136.33180949542614,-2.845980582909028,5.646667736099235,33.13890713167176,-11.250031616691968,3.06,1.16,,,,92.7,2288,5.9,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.57,,,,,,,,51,2,4-Seam Fastball,7,0,0,7,0,7,0,7,Infield shade,Standard,162,0.0,0.011,,,,-0.011,,7,-7,0.997,0.003,29,27,30,27,3,2,8.0,1.0,5,1,0.97,0.36,0.36,55.7
6,FC,2024-08-21,87.5,1.19,5.6,"Cortes, Nestor",647304,641482,,swinging_strike,,,,,13,"Josh Naylor grounds out, third baseman Oswald Peraza to first baseman Ben Rice.",R,L,L,NYY,CLE,S,,,0,0,2024,-0.59,0.82,-0.39,1.2,,,,2,7,Top,,,,,,,-2.5636487810512816,-127.42047370582767,-6.160168876154987,-6.011715591871576,24.408625191484933,-22.23199761060649,3.09,1.43,,,,86.9,2302,5.7,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.76,,,,,,,,51,1,Cutter,7,0,0,7,0,7,0,7,Infield shade,Standard,181,0.0,-0.016,31.8,6.8,,0.016,,7,-7,0.997,0.003,29,27,30,27,3,2,8.0,1.0,5,1,2.14,-0.59,-0.59,43.6
7,FF,2024-08-21,93.2,0.74,5.8,"Cortes, Nestor",681807,641482,field_out,hit_into_play,,,,,3,David Fry flies out to left fielder Alex Verdugo.,R,R,L,NYY,CLE,X,7.0,fly_ball,3,2,2024,0.44,1.61,0.42,3.35,,,,1,7,Top,106.23,111.86,,,,,-1.7823416631859752,-135.7707263205774,-4.078126903870526,5.8055731220434,30.185545115684995,-11.59548713022791,3.39,1.53,225.0,90.8,57.0,92.9,2251,6.1,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.44,0.006,0.005,0.0,1.0,0.0,0.0,3.0,50,10,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Strategic,159,0.002,-0.21,82.7,7.7,0.008,0.21,90.8,7,-7,0.995,0.005,29,28,30,29,3,2,8.0,1.0,5,1,1.01,0.44,-0.44,56.4
8,FF,2024-08-21,92.5,0.53,5.81,"Cortes, Nestor",681807,641482,,foul,,,,,4,David Fry flies out to left fielder Alex Verdugo.,R,R,L,NYY,CLE,S,,,3,2,2024,0.44,1.5,-0.74,2.26,,,,1,7,Top,,,,,,,-4.17784265262348,-134.53912468986897,-6.499483684578783,6.3147478939407655,29.409362291008364,-12.687219860790766,3.39,1.53,393.0,104.9,33.0,92.1,2257,6.1,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.42,,,,,,,,50,9,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Strategic,160,0.0,0.0,81.8,7.8,,0.0,104.9,7,-7,0.995,0.005,29,28,30,29,3,2,8.0,1.0,5,1,1.16,0.44,-0.44,54.0
9,SI,2024-08-21,89.2,3.33,4.82,"Cortes, Nestor",681807,641482,,ball,,,,,14,David Fry flies out to left fielder Alex Verdugo.,R,R,L,NYY,CLE,B,,,2,2,2024,1.09,0.95,0.98,1.15,,,,1,7,Top,,,,,,,-7.997350481934274,-129.6225275252746,-4.955378723766586,13.922155091343653,27.28751193364629,-20.54429047836698,3.21,1.36,,,,88.5,2223,5.9,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.56,,,,,,,,50,8,Sinker,7,0,0,7,0,7,0,7,Standard,Strategic,119,0.0,0.068,,,,-0.068,,7,-7,0.995,0.005,29,28,30,29,3,2,8.0,1.0,5,1,1.92,1.09,-1.09,20.0
