,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
275,SL,2022-04-07,81.1,-2.76,5.74,"Wong, Kolten",543939,502085,field_out,hit_into_play,,,,,7,Kolten Wong flies out to center fielder Jason Heyward.,R,L,R,CHC,MIL,X,8.0,fly_ball,1,2,2022,1.0,-0.76,-0.44,2.0,,,,0,9,Top,93.54,70.57,,,575929,,,3.286939602236697,-117.97028455008116,-0.1530085776423833,8.427448344051973,26.81986638592515,-39.413599082298624,3.18,1.47,328.0,94.9,36.0,80.8,2654,6.6,663178,502085,575929,643524,663611,621550,663538,664023,518792,673548,53.94,0.114,0.22,0.0,1.0,0.0,0.0,3.0,73,4,Slider,5,4,4,5,4,5,4,5,,,52,0.071,-0.158,,
281,KC,2022-04-07,85.4,-2.59,5.72,"Wong, Kolten",543939,502085,,ball,,,,,14,Kolten Wong flies out to center fielder Jason Heyward.,R,L,R,CHC,MIL,B,,,0,2,2022,0.41,-1.14,2.24,0.25,,,,0,9,Top,,,,,575929,,,10.608808016360092,-123.83707146927532,-4.186753284291535,1.8214861315436348,27.84118320649129,-43.0649919595795,3.13,1.47,,,,85.3,2651,6.7,663178,502085,575929,643524,663611,621550,663538,664023,518792,673548,53.77,,,,,,,,73,3,Knuckle Curve,5,4,4,5,4,5,4,5,,,37,0.0,0.017,,
286,SL,2022-04-07,81.4,-2.67,5.75,"Wong, Kolten",543939,502085,,called_strike,,,,,1,Kolten Wong flies out to center fielder Jason Heyward.,R,L,R,CHC,MIL,S,,,0,1,2022,1.13,-0.45,-0.53,3.02,,,,0,9,Top,,,,,575929,,,2.6542298505644,-118.40191836345429,1.4373063942759716,9.931378945454483,25.353946054928805,-36.8902545753198,3.17,1.47,,,,81.3,2680,6.5,663178,502085,575929,643524,663611,621550,663538,664023,518792,673548,53.96,,,,,,,,73,2,Slider,5,4,4,5,4,5,4,5,,,59,0.0,-0.046,,
295,FC,2022-04-07,93.0,-2.61,5.76,"Wong, Kolten",543939,502085,,called_strike,,,,,2,Kolten Wong flies out to center fielder Jason Heyward.,R,L,R,CHC,MIL,S,,,0,0,2022,-0.27,1.74,-0.24,2.87,,,,0,9,Top,,,,,575929,,,6.725191890753004,-135.13669353608367,-5.391741209034064,-4.943568710804223,33.302285035099004,-9.927631983699008,3.09,1.47,,,,93.2,2555,6.8,663178,502085,575929,643524,663611,621550,663538,664023,518792,673548,53.7,,,,,,,,73,1,Cutter,5,4,4,5,4,5,4,5,,,200,0.0,-0.034,,
127,SI,2022-04-07,96.3,-3.6,5.41,"Wisdom, Patrick",621550,664776,strikeout,swinging_strike,,,,,1,Patrick Wisdom strikes out swinging.,R,R,R,CHC,MIL,S,2.0,,2,2,2022,-1.53,0.79,-0.5,3.4,,,,2,8,Bot,,,,,605170,,,11.848076861942625,-139.64663825194089,-1.5050078882617004,-22.7642867903652,32.968353333857905,-21.727329154124345,3.47,1.59,,,,97.0,2094,7.0,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.53,,0.0,0.0,1.0,0.0,0.0,,72,6,Sinker,5,4,5,4,4,5,5,4,,,241,-0.007,-0.083,,
133,SI,2022-04-07,95.1,-3.58,5.45,"Wisdom, Patrick",621550,664776,,ball,,,,,11,Patrick Wisdom strikes out swinging.,R,R,R,CHC,MIL,B,,,1,2,2022,-1.7,0.53,-0.95,4.07,,,,2,8,Bot,,,,,605170,,,10.793227186355866,-137.9246251760095,0.96411450702855,-24.13996624001021,33.8908500490787,-26.00828068221618,3.39,1.59,,,,95.5,2010,7.0,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.54,,,,,,,,72,5,Sinker,5,4,5,4,4,5,5,4,,,237,0.0,0.014,,
136,SL,2022-04-07,82.3,-3.83,5.18,"Wisdom, Patrick",621550,664776,,foul,,,,,9,Patrick Wisdom strikes out swinging.,R,R,R,CHC,MIL,S,,,1,2,2022,0.94,0.33,0.73,1.94,,,,2,8,Bot,,,,,605170,,,8.632252852924479,-119.548050109289,-1.4035582912742792,7.123167238113505,25.486381365510905,-28.92293844403224,3.47,1.59,,,,83.1,2464,7.1,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.35,,,,,,,,72,4,Slider,5,4,5,4,4,5,5,4,,,50,0.0,0.0,,
140,SL,2022-04-07,83.1,-3.8,5.15,"Wisdom, Patrick",621550,664776,,ball,,,,,14,Patrick Wisdom strikes out swinging.,R,R,R,CHC,MIL,B,,,0,2,2022,0.66,-0.22,1.75,1.2,,,,2,8,Bot,,,,,605170,,,11.531565447680505,-120.47750070466655,-2.0229210076367536,3.82218407781313,26.24321633493692,-34.11654547572647,3.48,1.59,,,,83.6,2474,7.1,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.43,,,,,,,,72,3,Slider,5,4,5,4,4,5,5,4,,,49,0.0,0.011,,
143,SI,2022-04-07,95.1,-3.63,5.4,"Wisdom, Patrick",621550,664776,,foul,,,,,2,Patrick Wisdom strikes out swinging.,R,R,R,CHC,MIL,S,,,0,1,2022,-1.41,0.82,0.13,3.01,,,,2,8,Bot,,,,,605170,,,13.122846475573692,-137.84105074128834,-2.407891779701006,-21.03152283686603,32.73331081954357,-21.326318671773286,3.47,1.59,132.0,87.8,76.0,95.6,2079,6.9,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.57,,,,,,,,72,2,Sinker,5,4,5,4,4,5,5,4,,,239,0.0,-0.023,,
149,SL,2022-04-07,81.8,-3.87,5.18,"Wisdom, Patrick",621550,664776,,called_strike,,,,,1,Patrick Wisdom strikes out swinging.,R,R,R,CHC,MIL,S,,,0,0,2022,0.86,0.32,-0.43,2.88,,,,2,8,Bot,,,,,605170,,,6.146001998520953,-119.04690530927874,0.8106088096421433,6.981892101151502,23.464516639507988,-29.535695431733284,3.46,1.59,,,,82.5,2471,6.8,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.71,,,,,,,,72,1,Slider,5,4,5,4,4,5,5,4,,,56,0.0,-0.017,,
