,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
283,FF,2022-04-07,92.4,-2.73,4.79,"Brosseau, Mike",670712,571710,,called_strike,,,,,1,Mike Brosseau strikes out swinging.,R,R,R,CHC,MIL,S,,,2,0,2022,-0.57,1.1,-0.48,3.25,,605170.0,,2,8,Top,,,,,575929,,,7.007098637182775,-134.46393924536363,-0.5249124456057821,-8.376110006927238,28.537401999772385,-18.89416768090501,3.34,1.5,,,,92.8,2535,6.5,663178,571710,575929,643524,663611,621550,663538,664023,518792,673548,54.05,,,,,,,,69,3,4-Seam Fastball,5,4,4,5,4,5,4,5,,,218,0.0,-0.045,,
293,SL,2022-04-07,84.2,-3.02,4.69,"Brosseau, Mike",670712,571710,,ball,,,,,14,Mike Brosseau strikes out swinging.,R,R,R,CHC,MIL,B,,,1,0,2022,0.42,0.05,1.4,0.96,,605170.0,,2,8,Top,,,,,575929,,,9.471455270861728,-122.34434915892616,-2.3771903470392566,2.339757804905223,24.47829739906311,-31.40960994566149,3.35,1.5,,,,84.6,2640,6.6,663178,571710,575929,643524,663611,621550,663538,664023,518792,673548,53.85,,,,,,,,69,2,Slider,5,4,4,5,4,5,4,5,,,96,0.0,0.028,,
296,SL,2022-04-07,85.9,-2.94,4.67,"Brosseau, Mike",670712,571710,,ball,,,,,14,Mike Brosseau strikes out swinging.,R,R,R,CHC,MIL,B,,,0,0,2022,0.4,0.37,2.0,0.96,,605170.0,,2,8,Top,,,,,575929,,,10.93952407297266,-124.7418190355206,-3.289826084919653,1.962250612109946,24.87532373959139,-27.78351573815548,3.25,1.5,,,,86.2,2562,6.6,663178,571710,575929,643524,663611,621550,663538,664023,518792,673548,53.9,,,,,,,,69,1,Slider,5,4,4,5,4,5,4,5,,,56,0.0,0.037,,
160,KC,2022-04-07,75.7,-1.81,5.7,"Cain, Lorenzo",456715,592858,sac_fly,hit_into_play,,,,,7,Lorenzo Cain out on a sacrifice fly to left fielder Ian Happ.   Rowdy Tellez scores.,R,R,R,CHC,MIL,X,7.0,fly_ball,2,2,2022,0.6,-1.45,-0.77,1.99,642133.0,605170.0,,1,8,Top,94.66,67.19,,,575929,,,1.095667002924856,-110.03745721869342,2.165169080287841,4.518889739758525,24.35807717496838,-44.519230496645,3.47,1.59,336.0,94.0,36.0,75.4,2432,6.7,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.83,0.083,0.139,0.0,1.0,0.0,0.0,3.0,68,6,Knuckle Curve,5,3,3,5,4,5,4,5,,,17,0.066,-0.186,,
170,SL,2022-04-07,84.3,-2.11,5.48,"Cain, Lorenzo",456715,592858,,blocked_ball,,,,,14,Lorenzo Cain out on a sacrifice fly to left fielder Ian Happ.   Rowdy Tellez scores.,R,R,R,CHC,MIL,B,,,1,2,2022,0.79,0.76,1.79,0.28,642133.0,605170.0,,1,8,Top,,,,,575929,,,7.543578044867534,-122.27841378964098,-7.141474987671044,6.143231419840806,27.979123382158345,-23.17698876997185,3.86,1.75,,,,84.4,2024,6.9,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.63,,,,,,,,68,5,Slider,5,3,3,5,3,5,3,5,,,101,0.0,0.048,,
175,FF,2022-04-07,91.7,-1.68,5.79,"Cain, Lorenzo",456715,592858,,foul,,,,,2,Lorenzo Cain out on a sacrifice fly to left fielder Ian Happ.   Rowdy Tellez scores.,R,R,R,CHC,MIL,S,,,1,2,2022,-0.26,1.68,-0.21,3.17,642133.0,605170.0,,1,8,Top,,,,,575929,,,4.325618526486148,-133.34595965242022,-4.320162536042688,-4.1110938941900494,33.814617848297544,-11.567744429043298,3.47,1.59,180.0,70.3,56.0,91.7,2127,6.8,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.73,,,,,,,,68,4,4-Seam Fastball,5,3,3,5,3,5,3,5,,,196,0.0,0.0,,
182,FF,2022-04-07,93.1,-1.69,5.8,"Cain, Lorenzo",456715,592858,,ball,,,,,12,Lorenzo Cain out on a sacrifice fly to left fielder Ian Happ.   Rowdy Tellez scores.,R,R,R,CHC,MIL,B,,,0,2,2022,-0.2,1.65,1.19,3.93,642133.0,605170.0,,1,8,Top,,,,,575929,,,7.880070084848909,-135.25082100775816,-2.583724689219584,-4.345756749170075,33.36400789857165,-11.685735056127324,3.74,1.65,,,,93.3,2234,6.8,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.68,,,,,,,,68,3,4-Seam Fastball,5,3,3,5,3,5,3,5,,,192,0.0,0.015,,
187,FC,2022-04-07,91.6,-1.71,5.71,"Cain, Lorenzo",456715,592858,,foul,,,,,6,Lorenzo Cain out on a sacrifice fly to left fielder Ian Happ.   Rowdy Tellez scores.,R,R,R,CHC,MIL,S,,,0,1,2022,0.21,1.4,0.54,2.81,642133.0,605170.0,,1,8,Top,,,,,575929,,,5.267791829434319,-133.29967468259855,-4.533369464131427,1.3696130617085864,29.27560931389587,-14.669756012699391,3.47,1.59,249.0,79.0,40.0,92.5,2108,6.9,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.64,,,,,,,,68,2,Cutter,5,3,3,5,3,5,3,5,,,190,0.0,-0.17,,
195,FF,2022-04-07,93.0,-1.71,5.75,"Cain, Lorenzo",456715,592858,,foul,,,,,4,Lorenzo Cain out on a sacrifice fly to left fielder Ian Happ.   Rowdy Tellez scores.,R,R,R,CHC,MIL,S,,,0,0,2022,-0.43,1.53,-0.29,2.79,642133.0,605170.0,,1,8,Top,,,,,575929,,,4.635295954010307,-135.0929315156935,-5.075570491413017,-6.387189793266296,35.54162507125725,-12.697922185878545,3.47,1.59,233.0,75.4,34.0,93.0,2157,6.9,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.64,,,,,,,,68,1,4-Seam Fastball,5,3,3,5,3,5,3,5,,,198,0.0,-0.107,,
198,KC,2022-04-07,75.5,-1.85,5.73,"Caratini, Victor",605170,592858,double,hit_into_play,,,,,4,Victor Caratini doubles (1) on a sharp line drive to left fielder Ian Happ.   Rowdy Tellez to 3rd.,R,L,R,CHC,MIL,X,7.0,line_drive,1,1,2022,0.44,-1.73,-0.59,2.32,,,642133.0,1,8,Top,99.89,82.79,,,575929,,,1.8365594596137376,-109.57214775816048,3.475480872646139,2.9861287253190385,27.49516278476781,-46.84400326568429,3.41,1.56,296.0,104.2,13.0,74.4,2443,6.6,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.91,0.84,0.865,1.25,1.0,1.0,1.0,4.0,67,3,Knuckle Curve,5,3,3,5,3,5,3,5,,,19,-0.14,0.922,,
207,KC,2022-04-07,74.4,-1.85,5.77,"Caratini, Victor",605170,592858,,called_strike,,,,,3,Victor Caratini doubles (1) on a sharp line drive to left fielder Ian Happ.   Rowdy Tellez to 3rd.,R,L,R,CHC,MIL,S,,,1,0,2022,0.82,-1.37,0.76,2.91,,,642133.0,1,8,Top,,,,,575929,,,3.910813778013737,-107.9319229751402,4.043669298254944,5.378739066816101,24.74191593481578,-43.85202538441345,3.41,1.55,,,,73.5,2472,6.5,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.95,,,,,,,,67,2,Knuckle Curve,5,3,3,5,3,5,3,5,,,23,0.0,-0.058,,
212,KC,2022-04-07,74.5,-1.93,5.74,"Caratini, Victor",605170,592858,,ball,,,,,13,Victor Caratini doubles (1) on a sharp line drive to left fielder Ian Happ.   Rowdy Tellez to 3rd.,R,L,R,CHC,MIL,B,,,0,0,2022,0.58,-1.62,-0.53,1.39,,,642133.0,1,8,Top,,,,,575929,,,1.8513745026068031,-108.25299786562309,1.390503617219318,4.004386795974084,24.816131984448347,-45.2289066600188,3.4,1.56,,,,73.9,2444,6.6,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.89,,,,,,,,67,1,Knuckle Curve,5,3,3,5,3,5,3,5,,,16,0.0,0.042,,
224,FF,2022-04-07,93.4,-1.73,5.79,"Renfroe, Hunter",592669,592858,field_out,hit_into_play,,,,,2,Hunter Renfroe flies out to center fielder Jason Heyward.,R,R,R,CHC,MIL,X,8.0,fly_ball,2,2,2022,-0.29,1.52,-0.25,3.03,,,642133.0,0,8,Top,161.45,69.6,,,575929,,,4.488722014010091,-135.77358454668635,-4.6926885099445474,-4.598206634487283,32.76259433702987,-12.571437317181395,3.41,1.56,332.0,93.9,43.0,93.7,2053,6.8,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.72,0.009,0.008,0.0,1.0,0.0,0.0,3.0,66,7,4-Seam Fastball,5,3,3,5,3,5,3,5,,,193,0.058,-0.334,,
232,KC,2022-04-07,77.4,-1.99,5.6,"Renfroe, Hunter",592669,592858,,blocked_ball,,,,,14,Hunter Renfroe flies out to center fielder Jason Heyward.,R,R,R,CHC,MIL,B,,,1,2,2022,0.82,-1.51,0.31,0.12,,,642133.0,0,8,Top,,,,,575929,,,3.439436704202986,-112.4324297252755,-1.6973401691798715,5.855823354358582,28.266963582198088,-44.44190699346185,3.31,1.56,,,,76.9,2560,7.0,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.55,,,,,,,,66,6,Knuckle Curve,5,3,3,5,3,5,3,5,,,24,0.0,0.084,,
235,FF,2022-04-07,93.6,-1.56,5.8,"Renfroe, Hunter",592669,592858,,foul,,,,,2,Hunter Renfroe flies out to center fielder Jason Heyward.,R,R,R,CHC,MIL,S,,,1,2,2022,-0.42,1.71,-0.02,3.39,,,642133.0,0,8,Top,,,,,575929,,,4.905113916988465,-136.18528228071676,-4.204058346526199,-6.322250413196338,33.31978274759166,-10.281088512543263,3.41,1.56,179.0,72.0,55.0,93.8,2092,6.7,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.84,,,,,,,,66,5,4-Seam Fastball,5,3,3,5,3,5,3,5,,,197,0.0,0.0,,
242,FF,2022-04-07,93.8,-1.71,5.76,"Renfroe, Hunter",592669,592858,,foul,,,,,4,Hunter Renfroe flies out to center fielder Jason Heyward.,R,R,R,CHC,MIL,S,,,1,2,2022,-0.42,1.74,-0.56,2.81,,,642133.0,0,8,Top,,,,,575929,,,3.956211360555283,-136.38330522442988,-5.720428821101099,-6.202392959605198,33.15580492031281,-9.428226614148349,3.41,1.56,216.0,76.9,51.0,94.2,2182,6.8,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.72,,,,,,,,66,4,4-Seam Fastball,5,3,3,5,3,5,3,5,,,195,0.0,0.0,,
256,FF,2022-04-07,92.8,-1.77,5.72,"Renfroe, Hunter",592669,592858,,foul,,,,,4,Hunter Renfroe flies out to center fielder Jason Heyward.,R,R,R,CHC,MIL,S,,,1,1,2022,-0.39,1.53,-0.55,2.18,,,642133.0,0,8,Top,,,,,575929,,,4.016754561661617,-134.89607177045033,-6.617788199321202,-5.673548130974907,31.972100596467435,-12.220316051499667,3.41,1.56,170.0,65.6,47.0,93.3,2084,6.8,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.67,,,,,,,,66,3,4-Seam Fastball,5,3,3,5,3,5,3,5,,,201,0.0,-0.088,,
263,SL,2022-04-07,81.2,-1.94,5.59,"Renfroe, Hunter",592669,592858,,ball,,,,,14,Hunter Renfroe flies out to center fielder Jason Heyward.,R,R,R,CHC,MIL,B,,,0,1,2022,1.13,0.56,1.78,1.82,,,642133.0,0,8,Top,,,,,575929,,,6.202100374166244,-118.15694525931298,-2.8826370599717555,9.25172534710173,23.81398453014696,-26.613998556446614,3.54,1.56,,,,81.6,2049,6.7,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.81,,,,,,,,66,2,Slider,5,3,3,5,3,5,3,5,,,73,0.0,0.051,,
272,KC,2022-04-07,74.6,-1.91,5.77,"Renfroe, Hunter",592669,592858,,called_strike,,,,,6,Hunter Renfroe flies out to center fielder Jason Heyward.,R,R,R,CHC,MIL,S,,,0,0,2022,0.7,-1.38,0.34,2.79,,,642133.0,0,8,Top,,,,,575929,,,3.3801047774785764,-108.26037739689735,3.7477619771172432,4.6656072839380975,23.79291510940753,-43.89771342853926,3.47,1.56,,,,73.9,2464,6.5,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.98,,,,,,,,66,1,Knuckle Curve,5,3,3,5,3,5,3,5,,,23,0.0,-0.066,,
280,FC,2022-04-07,91.2,-1.68,5.79,"Tellez, Rowdy",642133,592858,single,hit_into_play,,,,,12,Rowdy Tellez singles on a line drive to left fielder Ian Happ.,R,L,R,CHC,MIL,X,7.0,line_drive,1,1,2022,0.02,1.28,1.06,2.76,,,,0,8,Top,108.54,104.3,,,575929,,,6.881270471365176,-132.50170918690512,-4.358759952692072,-1.550010078511156,34.180063958046546,-16.496720395719123,3.55,1.63,243.0,80.9,19.0,90.9,2079,6.7,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.8,0.917,0.887,0.9,1.0,1.0,0.0,4.0,65,3,Cutter,5,3,3,5,3,5,3,5,,,178,-0.066,0.404,,
291,KC,2022-04-07,74.0,-1.77,5.81,"Tellez, Rowdy",642133,592858,,called_strike,,,,,4,Rowdy Tellez singles on a line drive to left fielder Ian Happ.,R,L,R,CHC,MIL,S,,,1,0,2022,0.39,-1.64,-0.33,2.56,,,,0,8,Top,,,,,575929,,,2.254505046524373,-107.28933045573172,3.861605297360488,2.362450725294869,26.25755872881913,-45.66741573366136,3.57,1.63,,,,72.7,2314,6.5,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,54.05,,,,,,,,65,2,Knuckle Curve,5,3,3,5,3,5,3,5,,,21,0.0,-0.043,,
298,FC,2022-04-07,94.4,-1.73,5.75,"Tellez, Rowdy",642133,592858,,ball,,,,,3,Rowdy Tellez singles on a line drive to left fielder Ian Happ.,R,L,R,CHC,MIL,B,,,0,0,2022,0.07,1.63,0.57,3.79,,,,0,8,Top,,,,,575929,,,5.872688595498667,-137.19579204296366,-2.954420959609315,-0.6921926846646225,35.46304269049334,-11.356138269252158,3.78,1.76,,,,94.6,2029,6.8,663178,592858,575929,643524,663611,621550,663538,664023,518792,673548,53.66,,,,,,,,65,1,Cutter,5,3,3,5,3,5,3,5,,,195,0.0,0.033,,
191,SL,2022-04-07,82.7,-3.93,5.2,"Schwindel, Frank",643524,664776,field_out,hit_into_play,,,,,7,Frank Schwindel flies out to right fielder Hunter Renfroe.,R,R,R,CHC,MIL,X,9.0,fly_ball,2,1,2022,1.07,0.16,-0.75,2.13,,664023.0,,2,7,Bot,154.81,97.99,,,605170,,,5.226070328658061,-120.2921966310141,-0.7879495553841303,9.287654239161183,24.55230659318084,-30.65553329416164,3.41,1.56,263.0,80.6,41.0,83.4,2478,6.9,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.59,0.034,0.046,0.0,1.0,0.0,0.0,3.0,64,4,Slider,5,3,5,3,3,5,5,3,,,56,-0.017,-0.332,,
200,SL,2022-04-07,83.4,-3.95,5.26,"Schwindel, Frank",643524,664776,,called_strike,,,,,5,Frank Schwindel flies out to right fielder Hunter Renfroe.,R,R,R,CHC,MIL,S,,,2,0,2022,0.86,0.31,0.23,2.64,,664023.0,,2,7,Bot,,,,,605170,,,8.016963478103058,-121.19212187480154,-0.0742569753337564,6.515476732757255,27.728701737602776,-29.36639674228876,3.33,1.56,,,,83.8,2620,7.0,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.5,,,,,,,,64,3,Slider,5,3,5,3,3,5,5,3,,,48,0.0,-0.045,,
209,SL,2022-04-07,83.3,-3.94,5.13,"Schwindel, Frank",643524,664776,,ball,,,,,14,Frank Schwindel flies out to right fielder Hunter Renfroe.,R,R,R,CHC,MIL,B,,,1,0,2022,1.11,0.23,1.4,1.28,,664023.0,,2,7,Bot,,,,,605170,,,10.15706273356163,-120.82258719322486,-2.772682291617458,8.679834688455566,25.709338397514838,-29.530856941514728,3.27,1.56,,,,83.8,2710,7.0,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.51,,,,,,,,64,2,Slider,5,3,5,3,3,5,5,3,,,57,0.0,0.028,,
215,FF,2022-04-07,96.7,-3.6,5.42,"Schwindel, Frank",643524,664776,,ball,,,,,11,Frank Schwindel flies out to right fielder Hunter Renfroe.,R,R,R,CHC,MIL,B,,,0,0,2022,-1.06,1.21,-0.3,4.28,,664023.0,,2,7,Bot,,,,,605170,,,11.32093587495953,-140.2525791755697,-0.1344864043538652,-16.75812481157462,36.36886608129213,-16.56577545531657,3.16,1.45,,,,97.0,2259,7.0,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.55,,,,,,,,64,1,4-Seam Fastball,5,3,5,3,3,5,5,3,,,235,0.0,0.037,,
221,SL,2022-04-07,84.5,-3.87,5.23,"Happ, Ian",664023,664776,double,hit_into_play,,,,,9,Ian Happ doubles (2) on a sharp fly ball to center fielder Lorenzo Cain.   Clint Frazier scores.    Willson Contreras scores.,R,L,R,CHC,MIL,X,8.0,fly_ball,3,2,2022,1.08,0.41,0.36,2.02,640449.0,,575929.0,2,7,Bot,150.92,34.06,,,605170,,,7.774015862487747,-122.73239639635538,-1.8329458404406664,9.035332248551194,27.60196529289008,-27.87583179189608,3.37,1.53,411.0,103.1,24.0,84.9,2590,6.9,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.56,0.734,1.232,1.25,1.0,1.0,1.0,6.0,63,6,Slider,3,3,3,3,3,5,5,3,,,56,0.3,1.476,,
226,SL,2022-04-07,82.9,-4.01,5.11,"Happ, Ian",664023,664776,,called_strike,,,,,8,Ian Happ doubles (2) on a sharp fly ball to center fielder Lorenzo Cain.   Clint Frazier scores.    Willson Contreras scores.,R,L,R,CHC,MIL,S,,,3,1,2022,1.13,0.48,-0.13,1.85,640449.0,,575929.0,2,7,Bot,,,,,605170,,,6.722335047814145,-120.55903428435288,-1.8260679267525608,9.447242790042916,26.71053597458593,-27.335167106640466,3.36,1.53,,,,83.3,2544,6.9,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.6,,,,,,,,63,5,Slider,3,3,3,3,3,3,3,3,,,51,0.0,-0.097,,
241,SL,2022-04-07,83.4,-3.96,5.14,"Happ, Ian",664023,664776,,ball,,,,,13,Ian Happ doubles (2) on a sharp fly ball to center fielder Lorenzo Cain.   Clint Frazier scores.    Willson Contreras scores.,R,L,R,CHC,MIL,B,,,2,1,2022,0.97,0.56,-1.21,2.47,640449.0,,575929.0,2,7,Bot,,,,,605170,,,4.4711919157580216,-121.42714203437784,-0.7427702550176245,8.616166269158224,25.6392400710834,-26.775563783590517,3.41,1.59,,,,84.0,2491,6.8,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.66,,,,,,,,63,4,Slider,3,3,3,3,3,3,3,3,,,58,0.0,0.165,,
246,SL,2022-04-07,83.2,-3.88,5.17,"Happ, Ian",664023,664776,,ball,,,,,14,Ian Happ doubles (2) on a sharp fly ball to center fielder Lorenzo Cain.   Clint Frazier scores.    Willson Contreras scores.,R,L,R,CHC,MIL,B,,,1,1,2022,1.2,0.36,1.61,1.92,640449.0,,575929.0,2,7,Bot,,,,,605170,,,10.353040935770904,-120.62270338217496,-1.534488329994731,9.07927419936679,28.36290044748397,-28.610725895299808,3.39,1.53,,,,83.5,2582,7.2,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.34,,,,,,,,63,3,Slider,3,3,3,3,3,3,3,3,,,40,0.0,0.034,,
251,SI,2022-04-07,95.5,-3.72,5.23,"Happ, Ian",664023,664776,,called_strike,,,,,7,Ian Happ doubles (2) on a sharp fly ball to center fielder Lorenzo Cain.   Clint Frazier scores.    Willson Contreras scores.,R,L,R,CHC,MIL,S,,,1,0,2022,-1.79,0.73,-0.77,1.42,640449.0,,575929.0,2,7,Bot,,,,,605170,,,11.92911755762128,-138.36736002895205,-5.988912602952071,-25.75537237243114,33.58136610903614,-21.56254593440901,3.42,1.46,,,,95.9,2200,7.0,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.54,,,,,,,,63,2,Sinker,3,3,3,3,3,3,3,3,,,241,0.0,-0.091,,
267,SL,2022-04-07,83.5,-3.93,5.12,"Happ, Ian",664023,664776,,ball,,,,,9,Ian Happ doubles (2) on a sharp fly ball to center fielder Lorenzo Cain.   Clint Frazier scores.    Willson Contreras scores.,R,L,R,CHC,MIL,B,,,0,0,2022,0.95,0.44,0.8,1.68,640449.0,,575929.0,2,7,Bot,,,,,605170,,,9.091124990289323,-121.23447305550609,-2.2477599607399186,7.270758400880506,26.95486986975254,-27.65114680128079,3.26,1.53,,,,83.8,2617,6.9,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.57,,,,,,,,63,1,Slider,3,3,3,3,3,3,3,3,,,43,0.0,0.064,,
270,SI,2022-04-07,96.4,-3.52,5.5,"Contreras, Willson",575929,664776,hit_by_pitch,hit_by_pitch,,,,,11,Willson Contreras hit by pitch.,R,R,R,CHC,MIL,B,,,2,1,2022,-1.66,0.67,-3.01,4.19,640449.0,,,2,7,Bot,,,,,605170,,,5.186302935998455,-140.2341247978331,0.6307731873069882,-23.023612784750984,33.96385462503963,-23.797056511128364,3.41,1.56,,,,97.1,2229,6.9,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.64,,0.720213,0.7,1.0,0.0,0.0,,62,4,Sinker,3,3,3,3,3,3,3,3,,,235,0.013,0.107,,
277,SL,2022-04-07,83.6,-3.87,5.17,"Contreras, Willson",575929,664776,,called_strike,,,,,6,Willson Contreras hit by pitch.,R,R,R,CHC,MIL,S,,,2,0,2022,0.96,0.5,0.69,2.67,640449.0,,,2,7,Bot,,,,,605170,,,8.684202715109937,-121.35031417315564,-0.2065937580034288,7.469586012401304,26.458933035410038,-27.506507734889624,3.3,1.56,,,,83.9,2611,6.9,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.63,,,,,,,,62,3,Slider,3,3,3,3,3,3,3,3,,,43,0.0,-0.052,,
292,SL,2022-04-07,82.7,-3.88,5.2,"Contreras, Willson",575929,664776,,ball,,,,,14,Willson Contreras hit by pitch.,R,R,R,CHC,MIL,B,,,1,0,2022,0.75,0.27,1.25,2.17,640449.0,,,2,7,Bot,,,,,605170,,,10.309607122965376,-120.01906308980892,-0.8567605271727121,5.009814851945534,25.390692686397124,-29.595183635584267,3.23,1.47,,,,83.0,2519,6.8,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.66,,,,,,,,62,2,Slider,3,3,3,3,3,3,3,3,,,41,0.0,0.043,,
302,SL,2022-04-07,83.5,-3.83,5.21,"Contreras, Willson",575929,664776,,ball,,,,,14,Willson Contreras hit by pitch.,R,R,R,CHC,MIL,B,,,0,0,2022,0.6,0.22,1.71,2.12,640449.0,,,2,7,Bot,,,,,605170,,,11.673511118337874,-121.05203055270884,-0.9692264764096152,3.189122741665171,27.59403757693643,-30.03052502645696,3.28,1.56,,,,83.7,2509,7.0,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.51,,,,,,,,62,1,Slider,3,3,3,3,3,3,3,3,,,38,0.0,0.031,,
86,SL,2022-04-07,82.7,0.9,6.11,"Madrigal, Nick",663611,676879,field_out,hit_into_play,,,,,13,"Nick Madrigal grounds out, second baseman Kolten Wong to first baseman Rowdy Tellez.   Clint Frazier to 3rd.",R,R,L,CHC,MIL,X,4.0,ground_ball,1,2,2022,-0.52,-0.36,-0.23,0.88,,640449.0,,1,7,Bot,131.57,142.13,,,605170,,,-1.5443870467201823,-120.47463915428207,-4.723678338315462,-4.775984392129422,23.459494420981084,-34.966224635712535,3.26,1.48,5.0,90.5,-12.0,82.0,2516,5.7,663178,676879,605170,642133,543939,670712,642715,592885,456715,592669,54.75,0.129,0.125,0.0,1.0,0.0,0.0,2.0,61,5,Slider,3,3,3,3,3,3,3,3,,,341,-0.05,-0.223,,
88,FF,2022-04-07,94.6,0.44,6.38,"Madrigal, Nick",663611,676879,,foul,,,,,2,"Nick Madrigal grounds out, second baseman Kolten Wong to first baseman Rowdy Tellez.   Clint Frazier to 3rd.",R,R,L,CHC,MIL,S,,,1,2,2022,0.65,1.13,-0.26,2.78,,640449.0,,1,7,Bot,,,,,605170,,,-3.2302360476672973,-137.68900593405277,-6.103226066453384,9.004930413409712,31.34206435879212,-16.688916903913974,3.26,1.48,9.0,95.6,-17.0,93.1,2133,5.4,663178,676879,605170,642133,543939,670712,642715,592885,456715,592669,55.09,,,,,,,,61,4,4-Seam Fastball,3,3,3,3,3,3,3,3,,,148,0.0,0.0,,
90,SL,2022-04-07,82.0,0.75,6.17,"Madrigal, Nick",663611,676879,,foul_tip,,,,,6,"Nick Madrigal grounds out, second baseman Kolten Wong to first baseman Rowdy Tellez.   Clint Frazier to 3rd.",R,R,L,CHC,MIL,S,,,1,1,2022,-0.61,-0.17,0.41,2.36,,640449.0,,1,7,Bot,,,,,605170,,,0.4100278620387139,-119.47714826140316,-1.6982394421149571,-5.8929937678657085,24.38084554664645,-33.65413409843982,3.26,1.48,,,,81.1,2451,5.7,663178,676879,605170,642133,543939,670712,642715,592885,456715,592669,54.79,,,,,,,,61,3,Slider,3,3,3,3,3,3,3,3,,,325,0.0,-0.082,,
95,FF,2022-04-07,94.6,0.54,6.43,"Madrigal, Nick",663611,676879,,ball,,,,,12,"Nick Madrigal grounds out, second baseman Kolten Wong to first baseman Rowdy Tellez.   Clint Frazier to 3rd.",R,R,L,CHC,MIL,B,,,0,1,2022,0.72,1.18,0.86,3.15,,640449.0,,1,7,Bot,,,,,605170,,,-0.7685423736456154,-137.6632521290303,-5.38300358758919,9.267467272120724,33.44330154296565,-16.211228179494316,2.91,1.31,,,,92.9,2093,5.5,663178,676879,605170,642133,543939,670712,642715,592885,456715,592669,55.03,,,,,,,,61,2,4-Seam Fastball,3,3,3,3,3,3,3,3,,,147,0.0,0.029,,
98,SI,2022-04-07,95.1,0.57,6.37,"Madrigal, Nick",663611,676879,,called_strike,,,,,12,"Nick Madrigal grounds out, second baseman Kolten Wong to first baseman Rowdy Tellez.   Clint Frazier to 3rd.",R,R,L,CHC,MIL,S,,,0,0,2022,1.36,0.82,1.01,3.09,,640449.0,,1,7,Bot,,,,,605170,,,-1.8425877343077603,-138.42864839106463,-4.726640826201001,17.850047013986618,32.20029161721413,-20.75019917059672,2.74,1.16,,,,93.8,2043,5.6,663178,676879,605170,642133,543939,670712,642715,592885,456715,592669,54.89,,,,,,,,61,1,Sinker,3,3,3,3,3,3,3,3,,,146,0.0,-0.043,,
