Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Hit Location,Up Mdle-RHB,26,157.0,156,21.0,58,9,1,5,0,0,0,0,,0.372,0.369,0.539,0.908,84.0,7.0,0.0,0,1,0,4,0.349,129,143,43
Hit Location,Opp Fld-RHB,26,66.0,65,7.0,25,3,0,0,0,0,0,0,,0.385,0.385,0.431,0.815,28.0,0.0,0.0,1,0,0,0,0.385,108,142,22
Hit Location,Pulled-LHB,13,21.0,21,2.0,6,1,0,0,0,0,0,0,,0.286,0.286,0.333,0.619,7.0,4.0,0.0,0,0,0,0,0.286,57,35,5
Hit Location,Up Mdle-LHB,23,59.0,59,13.0,26,3,2,4,0,0,0,0,,0.441,0.441,0.763,1.203,45.0,2.0,0.0,0,0,0,0,0.4,201,192,17
Hit Location,Opp Fld-LHB,13,18.0,18,0.0,7,3,0,0,0,0,0,0,,0.389,0.389,0.556,0.945,10.0,0.0,0.0,0,0,0,0,0.389,138,155,4
Hit Location,Unknown Loc,1,1.0,1,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Hit Trajectory,Ground Balls,26,143.0,143,18.0,38,5,0,0,0,0,0,0,,0.266,0.266,0.301,0.566,43.0,17.0,0.0,0,0,0,4,0.266,44,120,33
Hit Trajectory,Fly Balls,26,121.0,120,25.0,23,3,0,11,0,0,0,0,,0.192,0.19,0.492,0.682,59.0,0.0,0.0,0,1,0,1,0.109,68,74,9
Hit Trajectory,Line Drives,26,126.0,124,25.0,91,24,3,1,0,0,0,0,,0.734,0.722,1.0,1.722,124.0,0.0,0.0,0,2,0,0,0.72,335,129,63
Hit Trajectory,Bunts,3,3.0,2,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,-100,-100,0
Opponent,Inter-League,7,155.0,140,20.0,37,7,1,2,8,0,14,45,3.21,0.264,0.336,0.371,0.707,52.0,3.0,1.0,0,0,0,3,0.376,80,102,27
Opponent,Los Angeles Angels,1,22.0,16,5.0,5,1,0,0,1,0,6,2,0.33,0.313,0.5,0.375,0.875,6.0,2.0,0.0,0,0,0,0,0.357,127,164,4
Opponent,Arizona Diamondbacks,2,51.0,47,7.0,17,3,1,0,4,0,3,8,2.67,0.362,0.4,0.468,0.868,22.0,1.0,0.0,1,0,0,1,0.436,121,128,13
Opponent,Atlanta Braves,3,68.0,66,5.0,19,6,0,1,1,0,1,21,21.0,0.288,0.309,0.424,0.733,28.0,3.0,1.0,0,0,0,0,0.409,85,103,12
Opponent,Boston Red Sox,1,27.0,25,3.0,6,2,0,0,1,0,2,9,4.5,0.24,0.296,0.32,0.616,8.0,0.0,0.0,0,0,0,1,0.375,57,63,4
Opponent,Cincinnati Reds,1,12.0,7,3.0,2,1,0,0,1,0,4,2,0.5,0.286,0.5,0.429,0.929,3.0,0.0,0.0,0,1,0,0,0.333,139,172,1
Opponent,Miami Marlins,1,28.0,26,1.0,5,1,0,0,0,0,1,10,10.0,0.192,0.25,0.231,0.481,6.0,1.0,1.0,0,0,0,0,0.313,24,48,4
Opponent,Houston Astros,1,20.0,19,3.0,7,3,0,0,1,0,1,4,4.0,0.368,0.4,0.526,0.926,10.0,0.0,0.0,0,0,0,0,0.467,134,150,4
Opponent,Los Angeles Dodgers,1,23.0,21,1.0,7,1,0,1,0,0,2,4,2.0,0.333,0.391,0.524,0.915,11.0,3.0,0.0,0,0,0,0,0.375,131,139,5
Opponent,New York Mets,3,66.0,56,11.0,15,5,0,1,4,0,8,14,1.75,0.268,0.364,0.411,0.774,23.0,1.0,1.0,0,1,0,0,0.333,97,111,9
Opponent,Oakland Athletics,1,19.0,18,0.0,4,0,0,0,1,0,1,11,11.0,0.222,0.263,0.222,0.485,4.0,1.0,0.0,0,0,0,0,0.571,25,44,4
Opponent,Philadelphia Phillies,3,70.0,63,9.0,17,2,0,2,4,1,7,15,2.14,0.27,0.343,0.397,0.74,25.0,4.0,0.0,0,0,0,0,0.326,88,101,13
Opponent,Pittsburgh Pirates,1,25.0,20,3.0,5,2,0,0,0,0,2,6,3.0,0.25,0.36,0.35,0.71,7.0,0.0,2.0,0,1,0,0,0.333,82,114,3
Opponent,San Diego Padres,1,24.0,20,5.0,5,0,1,1,0,0,3,1,0.33,0.25,0.375,0.5,0.875,10.0,0.0,1.0,0,0,0,0,0.222,121,134,3
Opponent,Seattle Mariners,1,26.0,25,1.0,4,0,0,1,2,0,1,8,8.0,0.16,0.192,0.28,0.472,7.0,0.0,0.0,0,0,0,0,0.188,19,40,3
Opponent,San Francisco Giants,1,27.0,24,5.0,8,2,0,2,1,0,2,6,3.0,0.333,0.407,0.667,1.074,16.0,0.0,1.0,0,0,0,1,0.375,169,199,4
Opponent,St. Louis Cardinals,2,46.0,39,11.0,15,2,0,2,0,0,7,8,1.14,0.385,0.478,0.59,1.068,23.0,1.0,0.0,0,0,0,0,0.448,171,205,11
Opponent,Texas Rangers,1,23.0,21,2.0,5,0,1,0,0,0,1,7,7.0,0.238,0.304,0.333,0.638,7.0,0.0,1.0,0,0,0,1,0.357,62,87,4
Opponent,Toronto Blue Jays,1,18.0,16,6.0,6,1,0,1,2,0,2,4,2.0,0.375,0.444,0.625,1.069,10.0,0.0,0.0,0,0,0,1,0.455,170,201,4
Opponent,WP,7,147.0,124,20.0,32,6,1,1,5,0,17,42,2.47,0.258,0.361,0.347,0.707,43.0,4.0,4.0,0,2,0,2,0.374,82,111,24
Opponent,WP >= .500,19,448.0,405,61.0,120,26,2,11,18,1,37,98,2.65,0.296,0.36,0.452,0.812,183.0,13.0,4.0,1,1,0,3,0.367,106,122,81
Game Conditions,Night,14,326.0,294,43.0,82,16,2,9,13,0,25,74,2.96,0.279,0.344,0.439,0.782,129.0,8.0,5.0,0,2,0,2,0.343,98,119,55
Game Conditions,Day,12,269.0,235,38.0,70,16,1,3,10,1,29,66,2.28,0.298,0.381,0.413,0.793,97.0,9.0,3.0,1,1,0,3,0.401,103,125,50
Game Conditions,Open,25,571.0,506,78.0,144,30,2,12,21,1,53,139,2.62,0.285,0.36,0.423,0.783,214.0,16.0,8.0,1,3,0,5,0.369,99,120,100
Game Conditions,Retract,1,24.0,23,3.0,8,2,1,0,2,0,1,1,1.0,0.348,0.375,0.522,0.897,12.0,1.0,0.0,0,0,0,0,0.364,126,151,5
Game Conditions,Grass,24,548.0,485,76.0,139,30,1,12,21,1,52,132,2.54,0.287,0.362,0.427,0.789,207.0,16.0,7.0,1,3,0,4,0.369,101,123,96
Game Conditions,Artif. Turf,2,47.0,44,5.0,13,2,2,0,2,0,2,8,4.0,0.296,0.34,0.432,0.772,19.0,1.0,1.0,0,0,0,1,0.361,96,117,9
Ballparks,STL-Busch Stad 3,1,25.0,23,6.0,9,1,0,2,0,0,2,3,1.5,0.391,0.44,0.696,1.136,16.0,1.0,0.0,0,0,0,0,0.389,185,220,6
Ballparks,ARI-Chase Field,1,24.0,23,3.0,8,2,1,0,2,0,1,1,1.0,0.348,0.375,0.522,0.897,12.0,1.0,0.0,0,0,0,0,0.364,126,134,5
Ballparks,NYM-Citi Field,1,20.0,17,4.0,3,3,0,0,0,0,3,4,1.33,0.177,0.3,0.353,0.653,6.0,0.0,0.0,0,0,0,0,0.231,66,86,0
Ballparks,PHI-CitizensBank,2,49.0,44,7.0,12,2,0,1,3,0,5,9,1.8,0.273,0.347,0.386,0.733,17.0,3.0,0.0,0,0,0,0,0.324,87,106,9
Ballparks,BOS-Fenway Pk,1,27.0,25,3.0,6,2,0,0,1,0,2,9,4.5,0.24,0.296,0.32,0.616,8.0,0.0,0.0,0,0,0,1,0.375,57,69,4
Ballparks,TEX-GlbLifeField,1,23.0,21,2.0,5,0,1,0,0,0,1,7,7.0,0.238,0.304,0.333,0.638,7.0,0.0,1.0,0,0,0,1,0.357,62,93,4
Ballparks,WSN-Natls Park,15,338.0,292,48.0,87,18,0,7,15,1,36,81,2.25,0.298,0.383,0.432,0.814,126.0,9.0,6.0,1,3,0,3,0.387,108,132,62
Ballparks,OAK-Oakland Col.,1,19.0,18,0.0,4,0,0,0,1,0,1,11,11.0,0.222,0.263,0.222,0.485,4.0,1.0,0.0,0,0,0,0,0.571,25,42,4
Ballparks,SDP-Petco Pk,1,24.0,20,5.0,5,0,1,1,0,0,3,1,0.33,0.25,0.375,0.5,0.875,10.0,0.0,1.0,0,0,0,0,0.222,121,139,3
Ballparks,ATL-Truist Pk,2,46.0,46,3.0,13,4,0,1,1,0,0,14,,0.283,0.283,0.435,0.717,20.0,2.0,0.0,0,0,0,0,0.387,81,98,8
By Umpire,Adrian Johnson,1,24.0,24,1.0,7,2,0,1,1,0,0,4,,0.292,0.292,0.5,0.792,12.0,1.0,0.0,0,0,0,0,0.316,98,105,4
By Umpire,Alan Porter,1,28.0,26,1.0,5,1,0,0,0,0,1,10,10.0,0.192,0.25,0.231,0.481,6.0,1.0,1.0,0,0,0,0,0.313,24,40,4
By Umpire,Alex Tosi,1,26.0,25,1.0,4,0,0,1,2,0,1,8,8.0,0.16,0.192,0.28,0.472,7.0,0.0,0.0,0,0,0,0,0.188,19,38,3
By Umpire,Alfonso Márquez,2,47.0,43,7.0,14,2,0,1,3,1,4,12,3.0,0.326,0.383,0.442,0.825,19.0,2.0,0.0,0,0,0,0,0.433,110,142,11
By Umpire,Andy Fletcher,1,25.0,20,3.0,5,2,0,0,0,0,2,6,3.0,0.25,0.36,0.35,0.71,7.0,0.0,2.0,0,1,0,0,0.333,82,80,3
By Umpire,Brian O'Nora,1,27.0,25,3.0,6,2,0,0,1,0,2,9,4.5,0.24,0.296,0.32,0.616,8.0,0.0,0.0,0,0,0,1,0.375,57,63,4
By Umpire,Brian Walsh,2,47.0,41,6.0,12,1,1,2,0,0,5,5,1.0,0.293,0.383,0.512,0.895,21.0,3.0,1.0,0,0,0,0,0.294,126,141,8
By Umpire,Bruce Dreckman,1,21.0,16,5.0,6,1,0,0,0,0,5,5,1.0,0.375,0.524,0.438,0.961,7.0,0.0,0.0,0,0,0,0,0.546,148,150,5
By Umpire,Carlos Torres,2,48.0,41,9.0,15,3,1,1,5,0,5,3,0.6,0.366,0.438,0.561,0.999,23.0,1.0,1.0,0,1,0,0,0.368,153,173,10
By Umpire,Chad Fairchild,1,20.0,17,4.0,3,3,0,0,0,0,3,4,1.33,0.177,0.3,0.353,0.653,6.0,0.0,0.0,0,0,0,0,0.231,66,85,0
By Umpire,Chris Segal,1,22.0,21,1.0,5,1,0,0,1,0,1,8,8.0,0.238,0.273,0.286,0.558,6.0,1.0,0.0,0,0,0,0,0.385,43,52,4
By Umpire,Cory Blaser,1,20.0,19,3.0,7,3,0,0,1,0,1,4,4.0,0.368,0.4,0.526,0.926,10.0,0.0,0.0,0,0,0,0,0.467,134,172,4
By Umpire,Dan Merzel,1,27.0,24,5.0,8,2,0,2,1,0,2,6,3.0,0.333,0.407,0.667,1.074,16.0,0.0,1.0,0,0,0,1,0.375,169,194,4
By Umpire,Hunter Wendelstedt,1,22.0,16,5.0,5,1,0,0,1,0,6,2,0.33,0.313,0.5,0.375,0.875,6.0,2.0,0.0,0,0,0,0,0.357,127,158,4
By Umpire,James Hoye,1,19.0,18,0.0,4,0,0,0,1,0,1,11,11.0,0.222,0.263,0.222,0.485,4.0,1.0,0.0,0,0,0,0,0.571,25,38,4
By Umpire,Jansen Visconti,2,34.0,27,5.0,8,3,0,0,1,0,5,9,1.8,0.296,0.412,0.407,0.819,11.0,1.0,1.0,0,1,0,0,0.421,110,123,5
By Umpire,John Libka,1,18.0,16,6.0,6,1,0,1,2,0,2,4,2.0,0.375,0.444,0.625,1.069,10.0,0.0,0.0,0,0,0,1,0.455,170,208,4
By Umpire,Marvin Hudson,1,23.0,20,2.0,3,0,0,1,1,0,3,3,1.0,0.15,0.261,0.3,0.561,6.0,2.0,0.0,0,0,0,0,0.125,43,54,2
By Umpire,Paul Clemons,1,27.0,24,4.0,9,1,0,0,2,0,2,7,3.5,0.375,0.423,0.417,0.84,10.0,0.0,0.0,1,0,0,1,0.529,115,132,8
By Umpire,Ryan Blakney,1,23.0,21,2.0,5,0,1,0,0,0,1,7,7.0,0.238,0.304,0.333,0.638,7.0,0.0,1.0,0,0,0,1,0.357,62,93,4
By Umpire,Will Little,1,22.0,22,2.0,6,2,0,0,0,0,0,10,,0.273,0.273,0.364,0.636,8.0,1.0,0.0,0,0,0,0,0.5,61,78,4
