Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Batting Order Positions,Batting 7th,21,48.0,44,3.0,7,3,0,1,1,0,4,17,4.25,0.159,0.229,0.296,0.525,13.0,1.0,0.0,0,0,0,0,0.231,64,52,3
Batting Order Positions,Batting 8th,21,44.0,44,3.0,6,1,1,3,0,0,0,16,,0.136,0.136,0.409,0.546,18.0,0.0,0.0,0,0,0,0,0.12,58,58,1
Batting Order Positions,Batting 9th,21,44.0,41,2.0,12,1,1,1,1,0,2,10,5.0,0.293,0.341,0.439,0.78,18.0,0.0,1.0,0,0,0,0,0.367,144,150,9
Batting Order Positions,"Bat1-2,non-P",21,125.0,119,18.0,31,4,3,5,4,1,5,37,7.4,0.261,0.296,0.471,0.767,56.0,0.0,1.0,0,0,0,2,0.338,135,103,19
Batting Order Positions,"Bat3-6,non-P",21,226.0,213,18.0,45,2,0,9,2,1,12,77,6.42,0.211,0.257,0.347,0.604,74.0,4.0,1.0,0,0,0,0,0.284,88,65,34
Batting Order Positions,"Bat7-9,non-P",21,136.0,129,8.0,25,5,2,5,2,0,6,43,7.17,0.194,0.235,0.38,0.615,49.0,1.0,1.0,0,0,0,0,0.247,88,85,13
Swung or Took First Pitch of PA,Swung at 1st Pitch,21,148.0,144,15.0,39,5,0,8,,,2,37,18.5,0.271,0.291,0.472,0.763,68.0,2.0,2.0,0,0,0,1,0.313,133,115,26
Swung or Took First Pitch of PA,Took 1st Pitch,21,339.0,317,29.0,62,6,5,11,,,21,120,5.71,0.196,0.248,0.35,0.598,111.0,3.0,1.0,0,0,0,1,0.274,85,66,40
Count/Balls-Strikes,First Pitch,19,51.0,51,8.0,24,3,0,5,,,0,0,,0.471,0.471,0.824,1.294,42.0,0.0,0.0,0,0,0,1,0.413,293,185,16
Count/Balls-Strikes,1-0 Count,15,24.0,24,2.0,5,1,0,0,,,0,0,,0.208,0.208,0.25,0.458,6.0,0.0,0.0,0,0,0,1,0.208,44,5,4
Count/Balls-Strikes,2-0 Count,6,7.0,7,1.0,2,0,0,1,,,0,0,,0.286,0.286,0.714,1.0,5.0,0.0,0.0,0,0,0,0,0.167,194,98,1
Count/Balls-Strikes,3-0 Count,5,5.0,1,0.0,0,0,0,0,,,4,0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0,0,0,0,0.0,207,-15,0
Count/Balls-Strikes,0-1 Count,18,37.0,36,7.0,9,0,1,2,,,0,0,,0.25,0.27,0.472,0.743,17.0,1.0,1.0,0,0,0,0,0.206,125,74,6
Count/Balls-Strikes,1-1 Count,16,31.0,30,2.0,6,1,0,1,,,0,0,,0.2,0.226,0.333,0.559,10.0,1.0,1.0,0,0,0,0,0.172,72,33,4
Count/Balls-Strikes,2-1 Count,11,19.0,19,2.0,6,0,2,0,,,0,0,,0.316,0.316,0.526,0.842,10.0,0.0,0.0,0,0,0,0,0.316,157,82,4
Count/Balls-Strikes,3-1 Count,7,7.0,4,3.0,3,1,0,2,,,3,0,0.0,0.75,0.857,2.5,3.357,10.0,0.0,0.0,0,0,0,0,0.5,873,415,0
Count/Balls-Strikes,0-2 Count,19,46.0,45,5.0,7,1,0,2,,,0,25,,0.156,0.174,0.311,0.485,14.0,0.0,1.0,0,0,0,0,0.278,47,148,4
Count/Balls-Strikes,1-2 Count,21,90.0,90,2.0,10,2,0,0,,,0,54,,0.111,0.111,0.133,0.244,12.0,2.0,0.0,0,0,0,0,0.278,-23,20,8
Count/Balls-Strikes,2-2 Count,21,86.0,86,4.0,17,1,2,3,,,0,43,,0.198,0.198,0.361,0.558,31.0,0.0,0.0,0,0,0,0,0.35,69,144,11
Count/Balls-Strikes,Full Count,21,84.0,68,8.0,12,1,0,3,,,16,35,2.19,0.177,0.333,0.324,0.657,22.0,1.0,0.0,0,0,0,0,0.3,111,71,8
Count/Balls-Strikes,After 1-0,21,177.0,161,17.0,38,6,2,8,,,15,54,3.6,0.236,0.305,0.447,0.752,72.0,1.0,1.0,0,0,0,1,0.303,132,86,22
Count/Balls-Strikes,After 2-0,20,49.0,40,7.0,16,0,1,5,,,9,11,1.22,0.4,0.51,0.825,1.335,33.0,0.0,0.0,0,0,0,0,0.458,308,180,10
Count/Balls-Strikes,After 3-0,12,13.0,7,3.0,3,0,0,2,,,6,2,0.33,0.429,0.692,1.286,1.978,9.0,0.0,0.0,0,0,0,0,0.333,497,246,1
Count/Balls-Strikes,After 0-1,21,259.0,249,19.0,39,2,3,6,,,8,103,12.88,0.157,0.189,0.261,0.45,65.0,4.0,2.0,0,0,0,0,0.236,40,48,28
Count/Balls-Strikes,After 1-1,21,214.0,200,15.0,31,5,2,5,,,13,82,6.31,0.155,0.21,0.275,0.485,55.0,3.0,1.0,0,0,0,0,0.23,51,46,19
Count/Balls-Strikes,After 2-1,21,106.0,94,11.0,26,1,3,5,,,12,32,2.67,0.277,0.359,0.511,0.869,48.0,0.0,0.0,0,0,0,0,0.368,169,121,17
Count/Balls-Strikes,After 3-1,15,30.0,21,5.0,8,1,0,3,,,9,7,0.78,0.381,0.567,0.857,1.424,18.0,0.0,0.0,0,0,0,0,0.455,338,190,4
Count/Balls-Strikes,After 0-2,21,112.0,110,5.0,16,2,1,2,,,1,64,64.0,0.146,0.161,0.236,0.397,26.0,1.0,1.0,0,0,0,0,0.318,23,74,11
Count/Balls-Strikes,After 1-2,21,172.0,167,5.0,19,4,1,1,,,5,98,19.6,0.114,0.14,0.168,0.307,28.0,3.0,0.0,0,0,0,0,0.265,-3,24,13
Count/Balls-Strikes,After 2-2,21,147.0,137,10.0,24,2,2,5,,,10,71,7.1,0.175,0.231,0.329,0.56,45.0,1.0,0.0,0,0,0,0,0.312,73,92,15
Count/Balls-Strikes,Zero Balls,21,134.0,132,20.0,40,4,1,9,,,0,25,,0.303,0.313,0.553,0.866,73.0,1.0,2.0,0,0,0,1,0.316,162,138,26
Count/Balls-Strikes,Zero Strikes,21,87.0,83,11.0,31,4,0,6,,,4,0,0.0,0.374,0.402,0.639,1.041,53.0,0.0,0.0,0,0,0,2,0.325,219,115,21
Count/Balls-Strikes,Three Balls,21,96.0,73,11.0,15,2,0,5,,,23,35,1.52,0.206,0.396,0.438,0.834,32.0,1.0,0.0,0,0,0,0,0.303,165,85,8
Count/Balls-Strikes,Two Strikes,21,306.0,289,19.0,46,5,2,8,,,16,157,9.81,0.159,0.206,0.273,0.479,79.0,3.0,1.0,0,0,0,0,0.307,49,87,31
Count/Balls-Strikes,Batter Ahead,21,146.0,123,16.0,28,3,2,6,,,23,35,1.52,0.228,0.349,0.431,0.78,53.0,1.0,0.0,0,0,0,1,0.268,145,63,17
Count/Balls-Strikes,Even Count,21,168.0,167,14.0,47,5,2,9,,,0,43,,0.281,0.286,0.497,0.783,83.0,1.0,1.0,0,0,0,1,0.33,138,122,31
Count/Balls-Strikes,Pitcher Ahead,21,173.0,171,14.0,26,3,1,4,,,0,79,,0.152,0.162,0.252,0.413,43.0,3.0,2.0,0,0,0,0,0.25,27,58,18
Leading Off Inning,First Batter,21,21.0,21,0.0,6,3,0,0,,,0,4,,0.286,0.286,0.429,0.714,9.0,0.0,0.0,0,0,0,0,0.353,120,104,3
Leading Off Inning,Leadoff Inn.,21,127.0,118,3.0,28,4,1,3,,,7,36,5.14,0.237,0.291,0.364,0.656,43.0,0.0,2.0,0,0,0,1,0.317,105,88,20
Opposition Defensive Position,vs. Non-P,21,487.0,461,44.0,101,11,5,19,8,2,23,157,6.83,0.219,0.261,0.388,0.649,179.0,5.0,3.0,0,0,0,2,0.288,100,80,66
Number of Outs in Inning,0 outs,21,173.0,163,7.0,34,5,2,4,1,0,8,54,6.75,0.209,0.254,0.337,0.592,55.0,2.0,2.0,0,0,0,2,0.286,84,64,23
Number of Outs in Inning,1 out,21,159.0,153,13.0,33,4,2,7,3,2,6,47,7.83,0.216,0.245,0.405,0.651,62.0,3.0,0.0,0,0,0,0,0.263,98,78,20
Number of Outs in Inning,2 outs,21,155.0,145,24.0,34,2,1,8,4,0,9,56,6.22,0.235,0.284,0.428,0.712,62.0,0.0,1.0,0,0,0,0,0.321,119,101,23
Bases Occupied,RISP,17,80.0,74,24.0,16,1,0,5,1,0,5,32,6.4,0.216,0.275,0.432,0.707,32.0,0.0,1.0,0,0,0,0,0.297,117,87,10
Bases Occupied,---,21,314.0,298,11.0,66,8,3,11,0,0,14,98,7.0,0.222,0.261,0.379,0.64,113.0,0.0,2.0,0,0,0,1,0.291,98,84,44
Bases Occupied,Men On,21,173.0,163,33.0,35,3,2,8,8,2,9,59,6.56,0.215,0.26,0.405,0.665,66.0,5.0,1.0,0,0,0,1,0.281,104,76,22
Bases Occupied,1--,21,93.0,89,9.0,19,2,2,3,7,2,4,27,6.75,0.214,0.247,0.382,0.629,34.0,5.0,0.0,0,0,0,1,0.271,93,68,12
Bases Occupied,-2-,11,31.0,28,8.0,5,0,0,3,0,0,2,8,4.0,0.179,0.258,0.5,0.758,14.0,0.0,1.0,0,0,0,0,0.118,128,103,2
Bases Occupied,--3,7,14.0,13,4.0,4,0,0,0,0,0,1,6,6.0,0.308,0.357,0.308,0.665,4.0,0.0,0.0,0,0,0,0,0.571,116,76,4
Bases Occupied,12-,10,20.0,19,7.0,4,0,0,2,0,0,1,10,10.0,0.211,0.25,0.526,0.776,10.0,0.0,0.0,0,0,0,0,0.286,131,111,2
Bases Occupied,1-3,5,3.0,2,1.0,1,0,0,0,1,0,1,1,1.0,0.5,0.667,0.5,1.167,1.0,0.0,0.0,0,0,0,0,1.0,284,203,1
Bases Occupied,-23,4,8.0,8,2.0,1,1,0,0,0,0,0,6,,0.125,0.125,0.25,0.375,2.0,0.0,0.0,0,0,0,0,0.5,12,-9,0
Bases Occupied,123,2,4.0,4,2.0,1,0,0,0,0,0,0,1,,0.25,0.25,0.25,0.5,1.0,0.0,0.0,0,0,0,0,0.333,60,42,1
Bases Occupied,"on 1st,",19,76.0,73,8.0,13,2,2,2,1,1,3,27,9.0,0.178,0.211,0.343,0.553,25.0,5.0,0.0,0,0,0,1,0.25,69,44,7
Bases Occupied,"on 3rd,",6,13.0,13,3.0,3,0,0,0,0,0,0,6,,0.231,0.231,0.231,0.462,3.0,0.0,0.0,0,0,0,0,0.429,48,12,3
