Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Ballparks,NYY-Yankee Stad3,6,136.0,127,16.0,36,8,0,5,6,1,8,39,4.88,0.284,0.331,0.465,0.796,59.0,1.0,1.0,0,0,0,0,0.374,103,114,23
By Umpire,Alfonso Márquez,1,22.0,20,4.0,7,1,0,1,1,0,2,8,4.0,0.35,0.409,0.55,0.959,11.0,0.0,0.0,0,0,0,0,0.546,145,178,5
By Umpire,Andy Fletcher,1,27.0,25,6.0,8,1,0,3,0,0,2,4,2.0,0.32,0.37,0.72,1.09,18.0,0.0,0.0,0,0,0,0,0.278,171,165,4
By Umpire,Cory Blaser,1,23.0,21,0.0,4,0,0,0,1,1,2,8,4.0,0.191,0.261,0.191,0.451,4.0,0.0,0.0,0,0,0,0,0.308,21,37,4
By Umpire,Edwin Moscoso,1,23.0,21,1.0,6,0,0,0,1,0,2,10,5.0,0.286,0.348,0.286,0.634,6.0,1.0,0.0,0,0,0,0,0.546,69,92,6
By Umpire,Gabe Morales,1,16.0,15,2.0,3,2,0,0,1,0,1,5,5.0,0.2,0.25,0.333,0.583,5.0,0.0,0.0,0,0,0,0,0.3,49,64,1
By Umpire,Lance Barksdale,1,21.0,17,6.0,7,1,0,4,0,0,4,0,0.0,0.412,0.524,1.177,1.7,20.0,1.0,0.0,0,0,0,0,0.231,318,350,2
By Umpire,Quinn Wolcott,1,25.0,24,1.0,6,1,0,1,1,0,1,8,8.0,0.25,0.28,0.417,0.697,10.0,0.0,0.0,0,0,0,0,0.333,77,97,4
By Umpire,Tom Hanahan,1,20.0,17,1.0,3,0,0,0,0,0,1,6,6.0,0.177,0.3,0.177,0.477,3.0,1.0,2.0,0,0,0,0,0.273,30,40,3
By Umpire,Tripp Gibson,1,23.0,22,2.0,6,3,0,0,2,1,0,4,,0.273,0.304,0.409,0.713,9.0,0.0,1.0,0,0,0,0,0.333,82,104,3
By Umpire,Will Little,1,24.0,23,1.0,5,0,1,0,1,0,1,7,7.0,0.217,0.25,0.304,0.554,7.0,0.0,0.0,0,0,0,0,0.313,43,56,4
