Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
By Umpire,Dan Merzel,1,24,21,3.0,5,1,0,1,0,0,3,5,1.67,0.238,0.333,0.429,0.762,9.0,1.0,0.0,0,0,0,0,0.267,105,112,3
By Umpire,David Rackley,1,25,23,2.0,3,0,0,1,0,0,2,9,4.5,0.13,0.2,0.261,0.461,6.0,0.0,0.0,0,0,0,0,0.154,24,35,2
By Umpire,Erich Bacchus,1,27,23,3.0,8,1,0,0,0,0,1,7,7.0,0.348,0.444,0.391,0.836,9.0,0.0,3.0,0,0,0,0,0.5,128,143,7
By Umpire,Gabe Morales,1,29,27,1.0,4,0,0,0,0,0,2,7,3.5,0.148,0.207,0.148,0.355,4.0,1.0,0.0,0,0,0,0,0.2,-3,4,4
By Umpire,Hunter Wendelstedt,1,19,16,7.0,9,0,0,2,3,1,3,4,1.33,0.563,0.632,0.938,1.569,15.0,0.0,0.0,0,0,0,0,0.7,321,348,7
By Umpire,Jonathan Parra,1,20,19,5.0,9,1,0,1,1,2,1,3,3.0,0.474,0.5,0.684,1.184,13.0,1.0,0.0,0,0,0,0,0.533,218,231,7
By Umpire,Junior Valentine,1,24,19,0.0,5,0,0,0,1,0,4,5,1.25,0.263,0.391,0.263,0.655,5.0,0.0,0.0,1,0,0,0,0.357,80,90,5
By Umpire,Marvin Hudson,1,22,21,0.0,5,1,0,0,0,0,0,7,,0.238,0.273,0.286,0.558,6.0,0.0,1.0,0,0,0,1,0.357,52,55,4
By Umpire,Mike Muchlinski,1,24,21,2.0,3,1,0,0,0,0,2,6,3.0,0.143,0.208,0.191,0.399,4.0,0.0,0.0,0,1,0,0,0.188,8,8,2
By Umpire,Paul Clemons,1,26,24,2.0,5,0,0,1,0,1,1,2,2.0,0.208,0.269,0.333,0.603,8.0,1.0,1.0,0,0,0,0,0.191,62,64,4
By Umpire,Roberto Ortiz,1,26,24,2.0,7,2,0,0,0,0,2,6,3.0,0.292,0.346,0.375,0.721,9.0,1.0,0.0,0,0,0,0,0.389,95,106,5
By Umpire,Ryan Additon,1,24,21,4.0,4,2,0,0,2,0,2,6,3.0,0.191,0.292,0.286,0.577,6.0,0.0,1.0,0,0,0,0,0.267,57,67,2
By Umpire,Ryan Blakney,1,21,19,3.0,5,1,1,1,0,1,2,5,2.5,0.263,0.333,0.579,0.912,11.0,0.0,0.0,0,0,0,0,0.308,143,168,2
By Umpire,Todd Tichenor,1,28,26,5.0,7,1,0,2,0,0,1,6,6.0,0.269,0.321,0.539,0.86,14.0,0.0,1.0,0,0,0,0,0.278,129,144,4
