Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Hit Location,Up Mdle-RHB,27,84.0,83,8.0,30,8,0,1,0,0,0,0,,0.361,0.357,0.494,0.851,41.0,2.0,0.0,0,1,0,0,0.349,160,130,21
Hit Location,Opp Fld-RHB,16,26.0,26,0.0,3,1,0,0,0,0,0,0,,0.115,0.115,0.154,0.269,4.0,0.0,0.0,0,0,0,0,0.115,-18,-21,2
Hit Location,Pulled-LHB,20,46.0,46,13.0,15,4,1,3,0,0,0,0,,0.326,0.326,0.652,0.978,30.0,1.0,0.0,0,0,0,0,0.279,190,95,7
Hit Location,Up Mdle-LHB,26,74.0,72,11.0,25,2,1,2,0,0,0,0,,0.347,0.347,0.486,0.833,35.0,1.0,0.0,2,0,0,1,0.329,155,108,20
Hit Location,Opp Fld-LHB,16,28.0,26,5.0,5,1,0,0,0,0,0,0,,0.192,0.185,0.231,0.416,6.0,1.0,0.0,1,1,0,2,0.185,28,13,4
Hit Trajectory,Ground Balls,31,111.0,111,12.0,29,5,1,0,0,0,0,0,,0.261,0.261,0.324,0.586,36.0,6.0,0.0,0,0,0,3,0.261,81,127,23
Hit Trajectory,Fly Balls,30,116.0,114,13.0,19,7,0,8,0,0,0,0,,0.167,0.164,0.439,0.602,50.0,0.0,0.0,0,2,0,0,0.102,75,53,4
Hit Trajectory,Line Drives,25,69.0,69,19.0,44,11,1,0,0,0,0,0,,0.638,0.638,0.826,1.464,57.0,0.0,0.0,0,0,0,1,0.638,350,96,32
Hit Trajectory,Bunts,2,3.0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,3,0,0,0,,,,0
Opponent,Inter-League,11,106.0,100,10.0,26,8,0,2,1,0,4,21,5.25,0.26,0.289,0.4,0.689,40.0,1.0,0.0,2,0,0,0,0.312,110,95,16
Opponent,Los Angeles Angels,1,11.0,11,0.0,2,0,0,0,0,0,0,2,,0.182,0.182,0.182,0.364,2.0,0.0,0.0,0,0,0,0,0.222,14,8,2
Opponent,Arizona Diamondbacks,1,10.0,8,1.0,3,1,1,0,0,0,1,2,2.0,0.375,0.4,0.75,1.15,6.0,0.0,0.0,0,1,0,0,0.429,243,195,1
Opponent,Baltimore Orioles,1,7.0,6,0.0,0,0,0,0,0,0,1,2,2.0,0.0,0.143,0.0,0.143,0.0,0.0,0.0,0,0,0,0,0.0,-47,-55,0
Opponent,Boston Red Sox,2,8.0,8,0.0,2,0,0,0,0,0,0,4,,0.25,0.25,0.25,0.5,2.0,0.0,0.0,0,0,0,0,0.5,57,33,2
Opponent,Chicago Cubs,3,26.0,26,0.0,5,3,0,0,0,0,0,6,,0.192,0.192,0.308,0.5,8.0,0.0,0.0,0,0,0,0,0.25,51,42,2
Opponent,Cleveland Guardians,1,10.0,9,3.0,4,2,0,0,0,0,1,2,2.0,0.444,0.5,0.667,1.167,6.0,0.0,0.0,0,0,0,0,0.571,258,230,2
Opponent,Colorado Rockies,2,12.0,12,1.0,2,1,0,1,0,0,0,4,,0.167,0.167,0.5,0.667,6.0,0.0,0.0,0,0,0,0,0.143,92,80,0
Opponent,Detroit Tigers,1,8.0,7,1.0,3,1,0,0,0,0,1,2,2.0,0.429,0.5,0.571,1.071,4.0,1.0,0.0,0,0,0,0,0.6,233,219,2
Opponent,Miami Marlins,3,35.0,34,0.0,8,0,0,0,2,0,0,8,,0.235,0.257,0.235,0.492,8.0,2.0,1.0,0,0,0,1,0.308,56,52,8
Opponent,Kansas City Royals,1,26.0,24,3.0,8,2,0,1,0,0,0,4,,0.333,0.333,0.542,0.875,13.0,0.0,0.0,2,0,0,0,0.368,164,135,5
Opponent,Los Angeles Dodgers,2,30.0,30,0.0,2,1,0,0,0,0,0,7,,0.067,0.067,0.1,0.167,3.0,1.0,0.0,0,0,0,1,0.087,-49,-57,1
Opponent,Milwaukee Brewers,3,32.0,30,1.0,1,0,0,0,1,1,1,10,10.0,0.033,0.094,0.033,0.127,1.0,0.0,1.0,0,0,0,1,0.05,-57,-63,1
Opponent,New York Mets,1,25.0,23,5.0,8,2,0,0,2,0,1,6,6.0,0.348,0.4,0.435,0.835,10.0,0.0,1.0,0,0,0,0,0.471,161,128,6
Opponent,New York Yankees,2,13.0,13,2.0,3,2,0,1,0,0,0,0,,0.231,0.231,0.615,0.846,8.0,0.0,0.0,0,0,0,0,0.167,146,110,0
Opponent,Philadelphia Phillies,1,27.0,26,5.0,11,2,1,1,1,1,0,3,,0.423,0.407,0.692,1.1,18.0,1.0,0.0,0,1,0,0,0.435,230,189,7
Opponent,Pittsburgh Pirates,1,3.0,3,1.0,1,0,0,1,0,0,0,1,,0.333,0.333,1.333,1.667,4.0,0.0,0.0,0,0,0,0,0.0,371,370,0
Opponent,San Diego Padres,2,46.0,43,10.0,14,5,0,1,0,0,2,5,2.5,0.326,0.356,0.512,0.867,22.0,1.0,0.0,0,0,0,1,0.351,165,131,8
Opponent,Seattle Mariners,1,15.0,15,1.0,3,1,0,0,0,0,0,3,,0.2,0.2,0.267,0.467,4.0,0.0,0.0,0,0,0,0,0.25,43,40,2
Opponent,San Francisco Giants,2,10.0,10,1.0,3,0,0,1,0,0,0,3,,0.3,0.3,0.6,0.9,6.0,0.0,0.0,0,0,0,0,0.333,167,147,2
Opponent,St. Louis Cardinals,1,8.0,8,0.0,2,0,0,0,0,0,0,0,,0.25,0.25,0.25,0.5,2.0,0.0,0.0,0,0,0,0,0.25,57,46,2
Opponent,Tampa Bay Rays,1,8.0,7,0.0,1,0,0,0,1,0,1,2,2.0,0.143,0.25,0.143,0.393,1.0,0.0,0.0,0,0,0,0,0.2,29,20,1
Opponent,Washington Nationals,1,23.0,20,3.0,6,0,0,1,2,0,1,3,3.0,0.3,0.364,0.45,0.814,9.0,0.0,1.0,1,0,0,0,0.313,151,137,5
Opponent,WP,13,126.0,121,6.0,29,5,0,3,4,0,2,26,13.0,0.24,0.264,0.355,0.619,43.0,3.0,2.0,1,0,0,1,0.283,90,81,21
Opponent,WP >= .500,21,267.0,252,32.0,63,18,2,5,5,2,8,53,6.63,0.25,0.277,0.397,0.673,100.0,3.0,2.0,2,2,0,3,0.296,106,82,38
Game Conditions,Night,20,243.0,232,19.0,52,14,0,3,3,1,6,48,8.0,0.224,0.25,0.323,0.573,75.0,3.0,2.0,2,0,0,3,0.271,76,60,35
Game Conditions,Day,14,150.0,141,19.0,40,9,2,5,6,1,4,31,7.75,0.284,0.309,0.482,0.791,68.0,3.0,2.0,1,2,0,1,0.327,140,120,24
Game Conditions,Open,28,318.0,302,36.0,83,22,2,8,6,1,8,59,7.38,0.275,0.296,0.44,0.737,133.0,5.0,2.0,3,2,0,2,0.317,124,104,51
Game Conditions,Dome,1,8.0,7,0.0,1,0,0,0,1,0,1,2,2.0,0.143,0.25,0.143,0.393,1.0,0.0,0.0,0,0,0,0,0.2,29,21,1
Game Conditions,Retract,5,67.0,64,2.0,8,1,0,0,2,1,1,18,18.0,0.125,0.164,0.141,0.305,9.0,1.0,2.0,0,0,0,2,0.174,-3,-12,7
Game Conditions,Grass,32,365.0,347,38.0,87,23,2,8,7,2,9,72,8.0,0.251,0.274,0.398,0.672,138.0,5.0,3.0,3,2,0,3,0.294,105,87,54
Game Conditions,Artif. Turf,2,28.0,26,0.0,5,0,0,0,2,0,1,7,7.0,0.192,0.25,0.192,0.442,5.0,1.0,1.0,0,0,0,1,0.263,42,28,5
Ballparks,MIL-Am Fam Field,3,32.0,30,1.0,1,0,0,0,1,1,1,10,10.0,0.033,0.094,0.033,0.127,1.0,0.0,1.0,0,0,0,1,0.05,-57,-62,1
Ballparks,STL-Busch Stad 3,1,8.0,8,0.0,2,0,0,0,0,0,0,0,,0.25,0.25,0.25,0.5,2.0,0.0,0.0,0,0,0,0,0.25,57,45,2
Ballparks,COL-Coors Fld,1,7.0,7,1.0,1,0,0,1,0,0,0,1,,0.143,0.143,0.571,0.714,4.0,0.0,0.0,0,0,0,0,0.0,102,69,0
Ballparks,LAD-Dodger Stad,1,16.0,16,0.0,1,0,0,0,0,0,0,4,,0.063,0.063,0.063,0.125,1.0,0.0,0.0,0,0,0,0,0.083,-60,-64,1
Ballparks,CIN-GreatAmer BP,19,234.0,220,27.0,67,17,2,5,6,1,7,46,6.57,0.305,0.329,0.468,0.797,103.0,5.0,2.0,3,2,0,1,0.363,143,117,43
Ballparks,MIA-loanDepot pk,1,20.0,19,0.0,4,0,0,0,1,0,0,5,,0.211,0.25,0.211,0.461,4.0,1.0,1.0,0,0,0,1,0.286,47,31,4
Ballparks,SFG-Oracle Park,1,5.0,5,0.0,1,0,0,0,0,0,0,1,,0.2,0.2,0.2,0.4,1.0,0.0,0.0,0,0,0,0,0.25,26,17,1
Ballparks,SDP-Petco Pk,1,25.0,23,5.0,6,2,0,0,0,0,1,3,3.0,0.261,0.292,0.348,0.64,8.0,0.0,0.0,0,0,0,1,0.3,98,77,4
Ballparks,PIT-PNC Pk,1,3.0,3,1.0,1,0,0,1,0,0,0,1,,0.333,0.333,1.333,1.667,4.0,0.0,0.0,0,0,0,0,0.0,371,346,0
Ballparks,SEA-T-Mobile Pk,1,15.0,15,1.0,3,1,0,0,0,0,0,3,,0.2,0.2,0.267,0.467,4.0,0.0,0.0,0,0,0,0,0.25,43,52,2
Ballparks,TBR-TropicanaFld,1,8.0,7,0.0,1,0,0,0,1,0,1,2,2.0,0.143,0.25,0.143,0.393,1.0,0.0,0.0,0,0,0,0,0.2,29,22,1
Ballparks,CHC-Wrigley Fld,1,7.0,7,0.0,1,1,0,0,0,0,0,3,,0.143,0.143,0.286,0.429,2.0,0.0,0.0,0,0,0,0,0.25,27,27,0
Ballparks,NYY-Yankee Stad3,2,13.0,13,2.0,3,2,0,1,0,0,0,0,,0.231,0.231,0.615,0.846,8.0,0.0,0.0,0,0,0,0,0.167,146,119,0
By Umpire,Adam Beck,1,23.0,20,3.0,6,0,0,1,2,0,1,3,3.0,0.3,0.364,0.45,0.814,9.0,0.0,1.0,1,0,0,0,0.313,151,126,5
By Umpire,Alan Porter,1,8.0,8,2.0,2,1,0,1,0,0,0,0,,0.25,0.25,0.75,1.0,6.0,0.0,0.0,0,0,0,0,0.143,188,174,0
By Umpire,Alex MacKay,1,3.0,3,1.0,1,0,0,1,0,0,0,1,,0.333,0.333,1.333,1.667,4.0,0.0,0.0,0,0,0,0,0.0,371,337,0
