Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Ballparks,BOS-Fenway Pk,10,163.0,146,22.0,35,6,0,5,1,0,11,33,3.0,0.24,0.296,0.384,0.68,56.0,4.0,2.0,1,3,0,4,0.27,79,84,24
Ballparks,TEX-GlbLifeField,1,8.0,7,0.0,2,0,0,0,0,0,1,0,0.0,0.286,0.375,0.286,0.661,2.0,1.0,0.0,0,0,0,0,0.286,80,104,2
Ballparks,CHW-Guaranteed,1,20.0,18,4.0,5,0,0,1,0,0,1,2,2.0,0.278,0.35,0.444,0.794,8.0,0.0,1.0,0,0,0,0,0.267,109,130,4
Ballparks,KCR-KauffmanStad,1,5.0,5,2.0,3,3,0,0,0,0,0,1,,0.6,0.6,1.2,1.8,6.0,0.0,0.0,0,0,0,0,0.75,361,369,0
Ballparks,CLE-Progressive,1,18.0,17,0.0,3,0,0,0,0,0,0,3,,0.177,0.222,0.177,0.399,3.0,1.0,1.0,0,0,0,0,0.214,8,14,3
Ballparks,MIN-Target Field,1,18.0,17,1.0,5,1,0,1,0,0,1,5,5.0,0.294,0.333,0.529,0.863,9.0,1.0,0.0,0,0,0,0,0.364,124,131,3
Ballparks,TBR-TropicanaFld,1,22.0,21,2.0,6,1,0,0,0,0,1,6,6.0,0.286,0.318,0.333,0.652,7.0,1.0,0.0,0,0,0,0,0.4,74,96,5
By Umpire,Alex Tosi,2,36.0,31,7.0,7,1,0,1,0,0,4,9,2.25,0.226,0.333,0.355,0.688,11.0,0.0,1.0,0,0,0,1,0.286,83,104,5
By Umpire,Alfonso Márquez,1,12.0,11,4.0,3,1,0,0,0,0,1,0,0.0,0.273,0.333,0.364,0.697,4.0,0.0,0.0,0,0,0,2,0.273,86,105,2
By Umpire,Andy Fletcher,1,20.0,17,7.0,7,4,1,0,0,0,1,2,2.0,0.412,0.4,0.765,1.165,13.0,0.0,0.0,0,2,0,0,0.412,199,180,2
By Umpire,Angel Hernandez,1,18.0,17,1.0,5,1,0,1,0,0,1,5,5.0,0.294,0.333,0.529,0.863,9.0,1.0,0.0,0,0,0,0,0.364,124,136,3
By Umpire,Brennan Miller,1,19.0,18,2.0,3,0,0,2,0,0,1,9,9.0,0.167,0.211,0.5,0.711,9.0,1.0,0.0,0,0,0,1,0.143,80,109,1
By Umpire,Clint Vondrak,1,25.0,24,0.0,6,1,0,0,0,0,1,4,4.0,0.25,0.28,0.292,0.572,7.0,3.0,0.0,0,0,0,0,0.3,53,52,5
By Umpire,D.J. Reyburn,1,8.0,7,0.0,2,0,0,0,0,0,1,0,0.0,0.286,0.375,0.286,0.661,2.0,1.0,0.0,0,0,0,0,0.286,80,95,2
By Umpire,Dan Iassogna,1,18.0,17,0.0,3,0,0,0,0,0,0,3,,0.177,0.222,0.177,0.399,3.0,1.0,1.0,0,0,0,0,0.214,8,24,3
By Umpire,Jansen Visconti,1,9.0,9,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
By Umpire,Jeremie Rehak,1,16.0,15,0.0,2,0,0,0,0,0,1,4,4.0,0.133,0.188,0.133,0.321,2.0,2.0,0.0,0,0,0,0,0.182,-12,-7,2
By Umpire,Nick Mahrley,1,5.0,4,1.0,2,0,0,0,1,0,0,1,,0.5,0.4,0.5,0.9,2.0,0.0,0.0,0,1,0,0,0.5,137,143,2
By Umpire,Ryan Wills,2,40.0,34,8.0,14,2,1,1,1,0,5,5,1.0,0.412,0.475,0.618,1.093,21.0,1.0,0.0,0,1,0,0,0.448,188,184,10
By Umpire,Scott Barry,1,5.0,5,2.0,3,3,0,0,0,0,0,1,,0.6,0.6,1.2,1.8,6.0,0.0,0.0,0,0,0,0,0.75,361,391,0
By Umpire,Sean Barber,1,20.0,18,4.0,5,0,0,1,0,0,1,2,2.0,0.278,0.35,0.444,0.794,8.0,0.0,1.0,0,0,0,0,0.267,109,121,4
By Umpire,Todd Tichenor,1,19.0,18,1.0,4,3,0,0,0,0,1,5,5.0,0.222,0.263,0.389,0.652,7.0,1.0,0.0,0,0,0,0,0.308,70,87,1
By Umpire,Vic Carapazza,2,51.0,44,7.0,15,2,0,1,0,0,3,7,2.33,0.341,0.38,0.455,0.835,20.0,1.0,1.0,1,2,0,0,0.368,121,143,12
