Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Batting Order Positions,Batting 6th,25,59.0,56,6.0,11,5,0,1,0,1,2,17,8.5,0.196,0.237,0.339,0.577,19.0,0.0,1.0,0,0,0,2,0.263,70,67,5
Batting Order Positions,Batting 7th,25,56.0,48,3.0,9,1,0,0,1,1,6,19,3.17,0.188,0.304,0.208,0.512,10.0,0.0,2.0,0,0,0,0,0.31,61,54,8
Batting Order Positions,Batting 8th,25,53.0,51,4.0,8,4,0,1,0,0,1,18,18.0,0.157,0.17,0.294,0.464,15.0,0.0,0.0,0,1,0,1,0.212,35,38,3
Batting Order Positions,Batting 9th,25,50.0,47,5.0,10,2,0,1,0,1,3,13,4.33,0.213,0.26,0.319,0.579,15.0,0.0,0.0,0,0,0,2,0.273,73,86,7
Batting Order Positions,"Bat1-2,non-P",25,145.0,133,6.0,34,13,2,2,2,0,10,30,3.0,0.256,0.313,0.429,0.741,57.0,0.0,1.0,1,0,0,2,0.317,120,98,17
Batting Order Positions,"Bat3-6,non-P",25,258.0,239,35.0,58,15,0,12,3,4,13,70,5.38,0.243,0.283,0.456,0.739,109.0,4.0,2.0,0,4,0,3,0.286,116,99,31
Batting Order Positions,"Bat7-9,non-P",25,159.0,146,12.0,27,7,0,2,1,2,10,50,5.0,0.185,0.245,0.274,0.519,40.0,0.0,2.0,0,1,0,3,0.263,56,59,18
Swung or Took First Pitch of PA,Swung at 1st Pitch,25,204.0,201,20.0,45,8,2,5,,,1,57,57.0,0.224,0.227,0.358,0.585,72.0,2.0,0.0,1,1,0,3,0.286,71,65,30
Swung or Took First Pitch of PA,Took 1st Pitch,25,358.0,317,33.0,74,27,0,11,,,32,93,2.91,0.233,0.31,0.423,0.733,134.0,2.0,5.0,0,4,0,5,0.29,117,104,36
Count/Balls-Strikes,First Pitch,23,70.0,68,11.0,27,4,1,4,,,0,0,,0.397,0.391,0.662,1.053,45.0,0.0,0.0,1,1,0,1,0.354,206,133,18
Count/Balls-Strikes,1-0 Count,19,34.0,32,5.0,10,4,0,2,,,0,0,,0.313,0.324,0.625,0.949,20.0,0.0,1.0,0,1,0,1,0.258,173,104,4
Count/Balls-Strikes,2-0 Count,4,5.0,5,0.0,2,0,0,0,,,0,0,,0.4,0.4,0.4,0.8,2.0,0.0,0.0,0,0,0,0,0.4,143,81,2
Count/Balls-Strikes,3-0 Count,4,5.0,1,0.0,0,0,0,0,,,4,0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0,0,0,0,0.0,186,-15,0
Count/Balls-Strikes,0-1 Count,20,38.0,37,8.0,15,4,1,3,,,0,0,,0.405,0.395,0.811,1.206,30.0,0.0,0.0,0,1,0,1,0.343,245,178,7
Count/Balls-Strikes,1-1 Count,25,54.0,54,6.0,16,7,0,1,,,0,0,,0.296,0.296,0.482,0.778,26.0,0.0,0.0,0,0,0,2,0.283,127,83,8
Count/Balls-Strikes,2-1 Count,10,13.0,12,3.0,4,1,0,0,,,0,0,,0.333,0.385,0.417,0.801,5.0,0.0,1.0,0,0,0,0,0.333,142,84,3
Count/Balls-Strikes,3-1 Count,10,13.0,5,1.0,2,1,0,1,,,8,0,0.0,0.4,0.769,1.2,1.969,6.0,0.0,0.0,0,0,0,0,0.25,476,199,0
Count/Balls-Strikes,0-2 Count,20,47.0,46,0.0,4,1,0,0,,,0,26,,0.087,0.106,0.109,0.215,5.0,3.0,1.0,0,0,0,0,0.2,-35,16,3
Count/Balls-Strikes,1-2 Count,25,93.0,92,6.0,13,4,0,2,,,0,47,,0.141,0.14,0.25,0.39,23.0,1.0,0.0,0,1,0,1,0.25,13,84,7
Count/Balls-Strikes,2-2 Count,25,111.0,109,5.0,17,6,0,2,,,0,52,,0.156,0.162,0.266,0.428,29.0,0.0,1.0,0,1,0,2,0.268,25,89,9
Count/Balls-Strikes,Full Count,25,79.0,57,7.0,9,3,0,1,,,21,25,1.19,0.158,0.392,0.263,0.656,15.0,0.0,1.0,0,0,0,0,0.258,106,66,5
Count/Balls-Strikes,After 1-0,25,190.0,161,15.0,34,13,0,3,,,22,33,1.5,0.211,0.316,0.348,0.664,56.0,1.0,4.0,0,3,0,4,0.242,100,66,18
Count/Balls-Strikes,After 2-0,22,45.0,33,1.0,6,2,0,0,,,12,7,0.58,0.182,0.4,0.242,0.642,8.0,0.0,0.0,0,0,0,0,0.231,104,33,4
Count/Balls-Strikes,After 3-0,7,8.0,2,0.0,0,0,0,0,,,6,0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0,0,0,0,0.0,168,2,0
Count/Balls-Strikes,After 0-1,25,302.0,289,27.0,58,18,1,9,,,11,117,10.64,0.201,0.232,0.363,0.595,105.0,3.0,1.0,0,1,0,3,0.299,74,94,30
Count/Balls-Strikes,After 1-1,25,247.0,223,23.0,44,14,0,5,,,19,76,4.0,0.197,0.267,0.327,0.595,73.0,1.0,3.0,0,2,0,5,0.271,78,79,25
Count/Balls-Strikes,After 2-1,25,107.0,88,7.0,16,6,0,1,,,17,30,1.76,0.182,0.327,0.284,0.611,25.0,0.0,2.0,0,0,0,2,0.263,88,56,9
Count/Balls-Strikes,After 3-1,15,28.0,15,3.0,3,1,0,1,,,13,5,0.38,0.2,0.571,0.467,1.038,7.0,0.0,0.0,0,0,0,0,0.222,221,103,1
Count/Balls-Strikes,After 0-2,25,128.0,125,5.0,17,7,0,2,,,2,67,33.5,0.136,0.156,0.24,0.396,30.0,3.0,1.0,0,0,0,0,0.268,16,73,8
Count/Balls-Strikes,After 1-2,25,199.0,186,15.0,29,9,0,5,,,10,94,9.4,0.156,0.201,0.285,0.486,53.0,1.0,1.0,0,2,0,1,0.27,43,95,15
Count/Balls-Strikes,After 2-2,25,175.0,156,10.0,25,9,0,3,,,16,72,4.5,0.16,0.246,0.276,0.521,43.0,0.0,2.0,0,1,0,2,0.268,57,79,13
Count/Balls-Strikes,Zero Balls,25,155.0,151,20.0,46,9,2,7,,,0,26,,0.305,0.305,0.53,0.835,80.0,3.0,1.0,1,2,0,2,0.325,142,130,28
Count/Balls-Strikes,Zero Strikes,25,114.0,106,16.0,39,8,1,6,,,4,0,0.0,0.368,0.389,0.632,1.022,67.0,0.0,1.0,1,2,0,2,0.324,198,110,24
Count/Balls-Strikes,Three Balls,25,97.0,63,8.0,11,4,0,2,,,33,25,0.76,0.175,0.464,0.333,0.797,21.0,0.0,1.0,0,0,0,0,0.25,149,71,5
Count/Balls-Strikes,Two Strikes,25,330.0,304,19.0,43,14,0,5,,,21,150,7.14,0.141,0.203,0.237,0.44,72.0,4.0,3.0,0,2,0,3,0.252,32,72,24
Count/Balls-Strikes,Batter Ahead,25,149.0,112,16.0,27,9,0,4,,,33,25,0.76,0.241,0.423,0.429,0.851,48.0,0.0,3.0,0,1,0,1,0.274,159,78,14
Count/Balls-Strikes,Even Count,25,235.0,231,22.0,60,17,1,7,,,0,52,,0.26,0.261,0.433,0.694,100.0,0.0,1.0,1,2,0,5,0.305,102,98,35
Count/Balls-Strikes,Pitcher Ahead,25,178.0,175,14.0,32,9,1,5,,,0,73,,0.183,0.185,0.331,0.517,58.0,4.0,1.0,0,2,0,2,0.273,49,95,17
Leading Off Inning,First Batter,25,25.0,22,0.0,3,2,0,0,,,2,8,4.0,0.136,0.24,0.227,0.467,5.0,0.0,1.0,0,0,0,1,0.214,43,37,1
Leading Off Inning,Leadoff Inn.,25,145.0,140,3.0,34,8,0,3,,,4,40,10.0,0.243,0.269,0.364,0.633,51.0,0.0,1.0,0,0,0,2,0.32,88,80,23
Opposition Defensive Position,vs. Non-P,25,562.0,518,53.0,119,35,2,16,6,6,33,150,4.55,0.23,0.28,0.398,0.678,206.0,4.0,5.0,1,5,0,8,0.289,100,89,66
Number of Outs in Inning,0 outs,25,195.0,183,10.0,43,10,1,4,0,1,7,52,7.43,0.235,0.263,0.366,0.629,67.0,1.0,1.0,1,3,0,2,0.3,86,74,28
Number of Outs in Inning,1 out,25,191.0,173,24.0,37,14,1,5,2,2,13,44,3.38,0.214,0.278,0.393,0.671,68.0,3.0,3.0,0,2,0,5,0.254,98,86,17
Number of Outs in Inning,2 outs,25,176.0,162,19.0,39,11,0,7,4,3,13,54,4.15,0.241,0.301,0.438,0.739,71.0,0.0,1.0,0,0,0,1,0.317,118,109,21
Bases Occupied,RISP,24,116.0,98,39.0,22,8,1,4,0,2,12,35,2.92,0.225,0.296,0.449,0.745,44.0,1.0,0.0,1,5,0,3,0.281,119,97,9
Bases Occupied,---,25,355.0,337,11.0,76,19,1,11,0,0,15,97,6.47,0.226,0.265,0.386,0.651,130.0,0.0,3.0,0,0,0,5,0.284,92,88,45
Bases Occupied,Men On,25,207.0,181,42.0,43,16,1,5,6,6,18,53,2.94,0.238,0.306,0.42,0.726,76.0,4.0,2.0,1,5,0,3,0.297,115,94,21
Bases Occupied,1--,24,91.0,83,3.0,21,8,0,1,6,4,6,18,3.0,0.253,0.319,0.386,0.704,32.0,3.0,2.0,0,0,0,0,0.313,111,91,12
Bases Occupied,-2-,19,49.0,41,5.0,6,3,1,0,0,1,8,13,1.63,0.146,0.286,0.268,0.554,11.0,0.0,0.0,0,0,0,2,0.214,70,52,2
Bases Occupied,--3,6,11.0,10,2.0,1,1,0,0,0,0,0,6,,0.1,0.091,0.2,0.291,2.0,0.0,0.0,0,1,0,0,0.2,-17,-27,0
Bases Occupied,12-,15,28.0,24,10.0,7,2,0,2,0,0,3,8,2.67,0.292,0.37,0.625,0.995,15.0,0.0,0.0,1,0,0,1,0.357,189,173,3
Bases Occupied,1-3,5,5.0,4,5.0,3,1,0,0,0,1,0,0,,0.75,0.6,1.0,1.6,4.0,1.0,0.0,0,1,0,0,0.6,366,287,2
Bases Occupied,-23,11,16.0,14,12.0,4,0,0,2,0,0,0,6,,0.286,0.25,0.714,0.964,10.0,0.0,0.0,0,2,0,0,0.25,169,133,2
Bases Occupied,123,3,7.0,5,5.0,1,1,0,0,0,0,1,2,2.0,0.2,0.286,0.4,0.686,2.0,0.0,0.0,0,1,0,0,0.25,103,87,0
Bases Occupied,"on 1st,",22,83.0,69,14.0,17,6,0,2,0,0,9,13,1.44,0.246,0.342,0.42,0.762,29.0,4.0,2.0,1,2,0,0,0.268,127,102,9
Bases Occupied,"on 3rd,",12,20.0,15,16.0,6,3,0,1,0,0,0,6,,0.4,0.3,0.8,1.1,12.0,1.0,0.0,0,5,0,0,0.385,208,145,2
Bases Occupied,"on 3rd, 2 out",11,19.0,18,7.0,3,0,0,1,0,0,1,8,8.0,0.167,0.211,0.333,0.544,6.0,0.0,0.0,0,0,0,0,0.222,59,50,2
