Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
By Umpire,Gabe Morales,1,20.0,19,1.0,5,2,0,0,0,0,1,4,4.0,0.263,0.3,0.368,0.668,7.0,0.0,0.0,0,0,0,0,0.333,76,93,3
By Umpire,Hunter Wendelstedt,2,40.0,36,5.0,11,6,0,0,2,1,4,6,1.5,0.306,0.375,0.472,0.847,17.0,1.0,0.0,0,0,0,0,0.367,123,141,5
By Umpire,John Libka,1,10.0,9,0.0,0,0,0,0,0,0,1,2,2.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0,0,0,0,0.0,-69,-67,0
By Umpire,Junior Valentine,1,23.0,21,1.0,6,0,0,0,1,0,1,5,5.0,0.286,0.304,0.286,0.59,6.0,0.0,0.0,0,1,0,0,0.353,59,68,6
By Umpire,Laz Diaz,1,5.0,4,2.0,2,0,0,1,1,0,1,1,1.0,0.5,0.6,1.25,1.85,5.0,0.0,0.0,0,0,0,0,0.5,369,381,1
By Umpire,Malachi Moore,1,17.0,14,2.0,5,0,0,1,1,0,3,4,1.33,0.357,0.471,0.571,1.042,8.0,0.0,0.0,0,0,0,0,0.444,175,194,4
By Umpire,Mark Ripperger,1,27.0,26,5.0,7,0,1,2,0,0,1,5,5.0,0.269,0.296,0.577,0.873,15.0,0.0,0.0,0,0,0,1,0.263,122,126,4
By Umpire,Mike Muchlinski,1,24.0,24,2.0,8,1,0,1,0,0,0,2,,0.333,0.333,0.5,0.833,12.0,0.0,0.0,0,0,0,0,0.333,116,118,6
By Umpire,Nate Tomlinson,2,45.0,36,8.0,10,3,0,3,3,0,8,9,1.13,0.278,0.4,0.611,1.011,22.0,1.0,0.0,0,1,0,1,0.28,162,192,4
By Umpire,Phil Cuzzi,1,10.0,10,0.0,1,0,0,0,0,0,0,2,,0.1,0.1,0.1,0.2,1.0,0.0,0.0,0,0,0,0,0.125,-46,-44,1
By Umpire,Rob Drake,1,8.0,8,2.0,4,0,0,0,0,0,0,1,,0.5,0.5,0.5,1.0,4.0,1.0,0.0,0,0,0,0,0.571,168,196,4
By Umpire,Roberto Ortiz,1,3.0,3,0.0,1,0,0,0,0,1,0,0,,0.333,0.333,0.333,0.667,1.0,0.0,0.0,0,0,0,0,0.333,78,92,1
By Umpire,Ryan Additon,1,10.0,9,0.0,1,0,0,0,0,1,1,5,5.0,0.111,0.2,0.111,0.311,1.0,0.0,0.0,0,0,0,0,0.25,-13,-7,1
By Umpire,Ryan Blakney,2,29.0,27,7.0,9,3,0,1,0,0,1,6,6.0,0.333,0.379,0.556,0.935,15.0,1.0,1.0,0,0,0,0,0.4,143,177,5
By Umpire,Scott Barry,1,16.0,12,5.0,4,1,0,1,0,0,3,1,0.33,0.333,0.5,0.667,1.167,8.0,0.0,1.0,0,0,0,0,0.3,206,223,2
By Umpire,Tom Hanahan,1,11.0,11,1.0,2,0,0,1,0,0,0,1,,0.182,0.182,0.455,0.636,5.0,0.0,0.0,0,0,0,0,0.111,59,69,1
By Umpire,Tripp Gibson,1,6.0,5,2.0,1,1,0,0,0,0,0,2,,0.2,0.333,0.4,0.733,2.0,0.0,1.0,0,0,0,0,0.333,94,111,0
