Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Bases Occupied,"2 out, -2-",18,20.0,19,6.0,5,0,0,2,0,1,1,6,6.0,0.263,0.3,0.579,0.879,11.0,0.0,0.0,0,0,0,0,0.273,141,132,3
Bases Occupied,"2 out, --3",9,10.0,8,2.0,2,1,0,0,0,0,1,1,1.0,0.25,0.4,0.375,0.775,3.0,0.0,1.0,0,0,0,0,0.286,127,131,1
Bases Occupied,"2 out, 12-",11,15.0,13,6.0,3,2,0,1,0,0,2,1,0.5,0.231,0.333,0.615,0.949,8.0,0.0,0.0,0,0,0,0,0.182,161,170,0
Bases Occupied,"2 out, 1-3",8,9.0,9,1.0,1,0,0,0,0,0,0,3,,0.111,0.111,0.111,0.222,1.0,0.0,0.0,0,0,0,0,0.167,-35,-38,1
Bases Occupied,"2 out, -23",4,4.0,2,0.0,0,0,0,0,0,0,2,1,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,72,46,0
Bases Occupied,"2 out, 123",4,4.0,4,4.0,2,0,0,0,0,0,0,1,,0.5,0.5,0.5,1.0,2.0,0.0,0.0,0,0,0,0,0.667,191,183,2
Clutch Stats,"2 outs, RISP",28,62.0,55,19.0,13,3,0,3,0,1,6,13,2.17,0.236,0.323,0.455,0.777,25.0,0.0,1.0,0,0,0,0,0.256,120,116,7
Clutch Stats,Late & Close,3,15.0,15,0.0,2,0,0,0,0,0,0,4,,0.133,0.133,0.133,0.267,2.0,0.0,0.0,0,0,0,0,0.182,-23,-21,2
Clutch Stats,Tie Game,29,232.0,216,27.0,60,15,0,9,3,0,12,62,5.17,0.278,0.316,0.472,0.788,102.0,2.0,1.0,1,2,0,2,0.347,121,121,36
Clutch Stats,Within 1 R,31,420.0,388,51.0,111,32,0,16,7,2,25,101,4.04,0.286,0.332,0.492,0.824,191.0,8.0,3.0,1,3,0,3,0.347,131,130,63
Clutch Stats,Within 2 R,31,577.0,534,59.0,139,40,0,18,8,4,34,137,4.03,0.26,0.307,0.436,0.744,233.0,9.0,4.0,1,4,0,4,0.316,109,108,81
Clutch Stats,Within 3 R,31,638.0,592,64.0,151,41,0,21,8,5,36,145,4.03,0.255,0.3,0.431,0.731,255.0,9.0,4.0,2,4,0,4,0.302,106,104,89
Clutch Stats,Within 4 R,31,684.0,635,67.0,158,44,0,23,8,5,39,157,4.03,0.249,0.295,0.427,0.722,271.0,10.0,4.0,2,4,0,4,0.294,103,102,91
Clutch Stats,Margin > 4 R,3,26.0,26,1.0,4,0,0,1,0,0,0,5,,0.154,0.154,0.269,0.423,7.0,0.0,0.0,0,0,0,0,0.15,17,15,3
Clutch Stats,Ahead,19,261.0,241,19.0,49,13,0,9,1,2,18,68,3.78,0.203,0.262,0.369,0.631,89.0,4.0,1.0,1,0,0,2,0.244,78,83,27
Clutch Stats,Behind,16,217.0,204,22.0,53,16,0,6,4,3,9,32,3.56,0.26,0.295,0.427,0.721,87.0,4.0,2.0,0,2,0,0,0.28,103,93,31
Leverage,High Lvrge,28,101.0,88,26.0,24,8,0,2,2,2,7,24,3.43,0.273,0.323,0.432,0.755,38.0,7.0,1.0,2,3,0,0,0.339,114,112,14
Leverage,Medium Lvrge,31,342.0,315,35.0,87,22,0,15,5,1,24,82,3.42,0.276,0.33,0.489,0.819,154.0,3.0,2.0,0,1,0,2,0.329,130,127,50
Leverage,Low Lvrge,31,267.0,258,7.0,51,14,0,7,1,2,8,56,7.0,0.198,0.225,0.333,0.558,86.0,0.0,1.0,0,0,0,2,0.226,57,56,30
Times Facing Opponent in Game,"1st PA in G, as SP",30,270.0,256,21.0,56,16,0,8,,,12,76,6.33,0.219,0.256,0.375,0.631,96.0,3.0,1.0,0,1,0,3,0.278,77,80,32
Times Facing Opponent in Game,"2nd PA in G, as SP",30,268.0,249,32.0,72,21,0,12,,,17,53,3.12,0.289,0.333,0.518,0.851,129.0,6.0,0.0,1,1,0,1,0.324,138,132,39
Times Facing Opponent in Game,"3rd PA in G, as SP",30,154.0,140,15.0,33,7,0,4,,,8,29,3.63,0.236,0.288,0.371,0.659,52.0,1.0,3.0,1,2,0,0,0.266,87,74,22
Times Facing Opponent in Game,"4th+ PA in G, as SP",1,1.0,1,0.0,0,0,0,0,,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,-100,-100,0
Times Facing Opponent in Game,"1st PA in G, as RP",1,9.0,8,0.0,0,0,0,0,,,1,2,2.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0,0,0,0,0.0,-62,-65,0
Times Facing Opponent in Game,"2nd PA in G, as RP",1,5.0,5,0.0,0,0,0,0,,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Pitch Count,Pitch 1-25,31,192.0,182,16.0,40,12,0,7,,,8,49,6.13,0.22,0.255,0.401,0.656,73.0,2.0,1.0,0,1,0,1,0.26,83,85,21
Pitch Count,Pitch 26-50,31,184.0,172,19.0,42,12,0,4,,,12,42,3.5,0.244,0.294,0.384,0.677,66.0,3.0,0.0,0,0,0,2,0.302,92,89,26
Pitch Count,Pitch 51-75,30,187.0,173,21.0,49,15,0,6,,,10,40,4.0,0.283,0.317,0.474,0.791,82.0,3.0,0.0,1,3,0,1,0.331,122,115,28
Pitch Count,Pitch 76-100,30,138.0,126,12.0,30,5,0,7,,,8,30,3.75,0.238,0.299,0.444,0.744,56.0,2.0,3.0,1,0,0,0,0.258,109,103,18
Pitch Count,Pitch 101+,6,6.0,6,0.0,0,0,0,0,,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Days of Rest,"4 Days,GS",13,307.0,287,25.0,63,17,0,8,3,3,17,77,4.53,0.22,0.265,0.362,0.627,104.0,3.0,1.0,1,1,0,1,0.271,77,74,38
Days of Rest,"5 Days,GS",13,300.0,277,33.0,74,22,0,11,4,2,16,70,4.38,0.267,0.311,0.466,0.777,129.0,3.0,3.0,1,3,0,3,0.317,118,115,41
Days of Rest,"6+ Days,GS",4,89.0,84,16.0,25,5,0,5,1,0,5,12,2.4,0.298,0.337,0.536,0.873,45.0,4.0,0.0,0,0,0,0,0.299,144,135,15
Days of Rest,"5 Days,GR",1,14.0,13,0.0,0,0,0,0,0,0,1,3,3.0,0.0,0.071,0.0,0.071,0.0,0.0,0.0,0,0,0,0,0.0,-76,-78,0
Hit Location,To Infield,31,201.0,199,3.0,8,0,0,0,0,0,0,0,,0.04,0.04,0.04,0.08,8.0,10.0,0.0,2,0,0,4,0.04,-77,-3,8
Hit Location,To Outfield,31,304.0,300,65.0,154,44,0,24,0,0,0,0,,0.513,0.507,0.9,1.407,270.0,0.0,0.0,0,4,0,0,0.464,289,96,86
Hit Location,Ball In Play,31,481.0,475,34.0,138,44,0,0,0,0,0,0,,0.291,0.288,0.383,0.671,182.0,10.0,0.0,2,4,0,4,0.288,90,102,94
Hit Location,Not in Play,31,229.0,186,34.0,24,0,0,24,0,1,39,162,4.15,0.129,0.293,0.516,0.809,96.0,0.0,4.0,0,0,0,0,,124,94,0
Hit Location,Fair Terr,31,480.0,474,68.0,162,44,0,24,0,0,0,0,,0.342,0.339,0.587,0.925,278.0,10.0,0.0,2,4,0,4,0.304,156,109,94
Hit Location,Foul Terr,14,25.0,25,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,,0
Hit Location,Pulled-RHB,30,107.0,105,23.0,51,21,0,12,0,0,0,0,,0.486,0.481,1.029,1.51,108.0,2.0,0.0,1,1,0,3,0.415,310,153,18
Hit Location,Up Mdle-RHB,31,217.0,215,28.0,61,14,0,8,0,0,0,0,,0.284,0.282,0.461,0.743,99.0,5.0,0.0,1,1,0,0,0.255,107,96,39
Hit Location,Opp Fld-RHB,28,75.0,75,6.0,21,4,0,2,0,0,0,0,,0.28,0.28,0.413,0.693,31.0,1.0,0.0,0,0,0,0,0.26,95,102,15
Hit Location,Pulled-LHB,18,22.0,22,3.0,9,2,0,1,0,0,0,0,,0.409,0.409,0.636,1.046,14.0,0.0,0.0,0,0,0,1,0.381,192,117,6
Hit Location,Up Mdle-LHB,24,54.0,52,6.0,16,2,0,1,0,0,0,0,,0.308,0.296,0.404,0.7,21.0,2.0,0.0,0,2,0,0,0.283,98,74,13
Hit Location,Opp Fld-LHB,18,25.0,25,2.0,4,1,0,0,0,0,0,0,,0.16,0.16,0.2,0.36,5.0,0.0,0.0,0,0,0,0,0.16,3,-1,3
Hit Location,Unknown Loc,5,5.0,5,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Hit Trajectory,Ground Balls,31,155.0,155,8.0,37,5,0,0,0,0,0,0,,0.239,0.239,0.271,0.51,42.0,10.0,0.0,0,0,0,4,0.239,47,98,32
Hit Trajectory,Fly Balls,31,223.0,220,41.0,42,14,0,23,0,0,0,0,,0.191,0.188,0.568,0.757,125.0,0.0,0.0,0,3,0,0,0.095,100,85,5
Hit Trajectory,Line Drives,31,121.0,120,19.0,81,25,0,1,0,0,0,0,,0.675,0.669,0.908,1.578,109.0,0.0,0.0,0,1,0,0,0.667,346,110,55
Hit Trajectory,Bunts,5,6.0,4,0.0,2,0,0,0,0,0,0,0,,0.5,0.5,0.5,1.0,2.0,0.0,0.0,2,0,0,0,0.5,191,99,2
Opponent,Inter-League,9,200.0,189,22.0,45,11,0,8,1,1,9,42,4.67,0.238,0.275,0.423,0.698,80.0,2.0,1.0,0,1,0,1,0.264,95,96,26
Opponent,Los Angeles Angels,2,42.0,41,8.0,14,3,0,2,0,0,1,6,6.0,0.342,0.357,0.561,0.918,23.0,2.0,0.0,0,0,0,0,0.364,156,171,9
Opponent,Arizona Diamondbacks,1,24.0,22,3.0,8,1,0,0,1,0,2,2,1.0,0.364,0.417,0.409,0.826,9.0,0.0,0.0,0,0,0,0,0.4,141,117,7
Opponent,Atlanta Braves,1,27.0,25,3.0,5,1,0,1,0,0,0,7,,0.2,0.222,0.36,0.582,9.0,0.0,1.0,0,1,0,0,0.222,62,59,3
Opponent,Baltimore Orioles,2,51.0,49,4.0,13,3,0,0,0,1,2,11,5.5,0.265,0.294,0.327,0.621,16.0,0.0,0.0,0,0,0,0,0.342,79,69,10
Opponent,Boston Red Sox,3,68.0,59,6.0,15,6,0,2,2,0,6,22,3.67,0.254,0.324,0.458,0.781,27.0,1.0,1.0,0,2,0,0,0.351,121,110,7
Opponent,Chicago Cubs,1,14.0,13,0.0,0,0,0,0,0,0,1,3,3.0,0.0,0.071,0.0,0.071,0.0,0.0,0.0,0,0,0,0,0.0,-76,-78,0
Opponent,Chicago White Sox,2,51.0,49,1.0,8,2,0,0,2,0,1,15,15.0,0.163,0.18,0.204,0.384,10.0,0.0,0.0,1,0,0,1,0.235,11,25,6
Opponent,Cleveland Guardians,2,43.0,41,4.0,8,1,0,2,0,1,1,10,10.0,0.195,0.233,0.366,0.599,15.0,1.0,1.0,0,0,0,2,0.207,67,69,5
Opponent,Detroit Tigers,1,23.0,22,2.0,3,1,0,0,0,0,1,9,9.0,0.136,0.174,0.182,0.356,4.0,0.0,0.0,0,0,0,0,0.231,3,5,2
Opponent,Miami Marlins,1,26.0,26,0.0,2,0,0,0,0,0,0,6,,0.077,0.077,0.077,0.154,2.0,0.0,0.0,0,0,0,0,0.1,-55,-54,2
Opponent,Houston Astros,1,22.0,20,4.0,5,1,0,1,0,0,2,5,2.5,0.25,0.318,0.45,0.768,9.0,0.0,0.0,0,0,0,0,0.286,117,106,3
Opponent,Kansas City Royals,1,27.0,25,2.0,6,2,0,0,0,1,2,2,1.0,0.24,0.296,0.32,0.616,8.0,1.0,0.0,0,0,0,0,0.261,78,76,4
Opponent,Los Angeles Dodgers,1,22.0,21,4.0,7,1,0,2,0,0,1,4,4.0,0.333,0.364,0.667,1.03,14.0,2.0,0.0,0,0,0,0,0.333,184,158,4
Opponent,Oakland Athletics,1,26.0,26,3.0,5,1,0,2,1,0,0,4,,0.192,0.192,0.462,0.654,12.0,0.0,0.0,0,0,0,0,0.15,76,81,2
Opponent,Philadelphia Phillies,1,21.0,19,3.0,3,1,0,1,0,0,2,6,3.0,0.158,0.238,0.368,0.607,7.0,0.0,0.0,0,0,0,0,0.167,70,60,1
Opponent,Seattle Mariners,2,43.0,37,0.0,7,2,0,0,0,1,6,12,2.0,0.189,0.302,0.243,0.546,9.0,2.0,0.0,0,0,0,0,0.28,62,62,5
Opponent,San Francisco Giants,1,20.0,20,3.0,7,2,0,2,0,0,0,7,,0.35,0.35,0.75,1.1,15.0,0.0,0.0,0,0,0,0,0.455,199,204,3
Opponent,St. Louis Cardinals,1,21.0,20,5.0,9,3,0,1,0,1,1,2,2.0,0.45,0.476,0.75,1.226,15.0,0.0,0.0,0,0,0,0,0.471,242,244,5
Opponent,Tampa Bay Rays,4,94.0,84,15.0,26,7,0,6,2,0,7,19,2.71,0.31,0.366,0.607,0.973,51.0,1.0,1.0,1,1,0,0,0.333,170,187,13
Opponent,Toronto Blue Jays,1,20.0,19,3.0,7,4,0,1,0,0,1,5,5.0,0.368,0.4,0.737,1.137,14.0,0.0,0.0,0,0,0,0,0.462,213,217,2
Opponent,Washington Nationals,1,25.0,23,1.0,4,2,0,1,0,0,2,5,2.5,0.174,0.24,0.391,0.631,9.0,0.0,0.0,0,0,0,1,0.177,76,82,1
Opponent,WP,13,304.0,288,34.0,73,21,0,14,5,0,12,67,5.58,0.254,0.285,0.472,0.757,136.0,3.0,1.0,2,1,0,2,0.284,110,119,38
Opponent,WP >= .500,18,406.0,373,40.0,89,23,0,10,3,5,27,95,3.52,0.239,0.293,0.381,0.674,142.0,7.0,3.0,0,3,0,2,0.292,92,84,56
Game Conditions,Night,18,424.0,395,35.0,93,25,0,10,7,2,23,95,4.13,0.235,0.279,0.375,0.654,148.0,8.0,2.0,1,3,0,2,0.283,85,83,58
Game Conditions,Day,13,286.0,266,39.0,69,19,0,14,1,3,16,67,4.19,0.259,0.305,0.489,0.794,130.0,2.0,2.0,1,1,0,2,0.296,121,121,36
Game Conditions,Open,25,574.0,540,55.0,126,31,0,19,6,5,26,135,5.19,0.233,0.271,0.396,0.667,214.0,9.0,3.0,2,3,0,4,0.275,88,86,76
Game Conditions,Dome,2,46.0,39,9.0,12,6,0,3,1,0,5,9,1.8,0.308,0.391,0.692,1.084,27.0,0.0,1.0,0,1,0,0,0.321,199,215,3
Game Conditions,Retract,4,90.0,82,10.0,24,7,0,2,1,0,8,18,2.25,0.293,0.356,0.451,0.807,37.0,1.0,0.0,0,0,0,0,0.355,130,126,15
Game Conditions,Grass,27,620.0,581,59.0,135,33,0,20,6,5,31,146,4.71,0.232,0.274,0.392,0.666,228.0,10.0,3.0,2,3,0,4,0.275,87,86,82
Game Conditions,Artif. Turf,4,90.0,80,15.0,27,11,0,4,2,0,8,16,2.0,0.338,0.4,0.625,1.025,50.0,0.0,1.0,0,1,0,0,0.377,186,182,12
Ballparks,LAA-Angel Stad,1,20.0,20,2.0,5,0,0,1,0,0,0,4,,0.25,0.25,0.4,0.65,8.0,0.0,0.0,0,0,0,0,0.267,81,80,4
Ballparks,BAL-Camden Yards,1,28.0,26,4.0,8,3,0,0,0,1,2,5,2.5,0.308,0.357,0.423,0.78,11.0,0.0,0.0,0,0,0,0,0.381,124,115,5
Ballparks,ARI-Chase Field,1,24.0,22,3.0,8,1,0,0,1,0,2,2,1.0,0.364,0.417,0.409,0.826,9.0,0.0,0.0,0,0,0,0,0.4,141,116,7
Ballparks,PHI-CitizensBank,1,21.0,19,3.0,3,1,0,1,0,0,2,6,3.0,0.158,0.238,0.368,0.607,7.0,0.0,0.0,0,0,0,0,0.167,70,67,1
Ballparks,BOS-Fenway Pk,1,26.0,21,4.0,9,4,0,0,1,0,2,5,2.5,0.429,0.462,0.619,1.081,13.0,0.0,1.0,0,2,0,0,0.5,206,198,5
Ballparks,CHW-Guaranteed,1,24.0,23,0.0,3,1,0,0,0,0,0,9,,0.13,0.13,0.174,0.304,4.0,0.0,0.0,1,0,0,0,0.214,-14,-12,2
Ballparks,KCR-KauffmanStad,1,27.0,25,2.0,6,2,0,0,0,1,2,2,1.0,0.24,0.296,0.32,0.616,8.0,1.0,0.0,0,0,0,0,0.261,78,71,4
Ballparks,HOU-MinuteMaidPk,1,22.0,20,4.0,5,1,0,1,0,0,2,5,2.5,0.25,0.318,0.45,0.768,9.0,0.0,0.0,0,0,0,0,0.286,117,110,3
Ballparks,WSN-Natls Park,1,25.0,23,1.0,4,2,0,1,0,0,2,5,2.5,0.174,0.24,0.391,0.631,9.0,0.0,0.0,0,0,0,1,0.177,76,79,1
Ballparks,SFG-Oracle Park,1,20.0,20,3.0,7,2,0,2,0,0,0,7,,0.35,0.35,0.75,1.1,15.0,0.0,0.0,0,0,0,0,0.455,199,210,3
Ballparks,CLE-Progressive,1,20.0,18,4.0,5,1,0,2,0,1,1,6,6.0,0.278,0.35,0.667,1.017,12.0,0.0,1.0,0,0,0,2,0.3,179,179,2
Ballparks,TOR-Rogers Ctr,1,20.0,19,3.0,7,4,0,1,0,0,1,5,5.0,0.368,0.4,0.737,1.137,14.0,0.0,0.0,0,0,0,0,0.462,213,211,2
Ballparks,SEA-T-Mobile Pk,1,24.0,21,0.0,4,1,0,0,0,0,3,6,2.0,0.191,0.292,0.238,0.53,5.0,1.0,0.0,0,0,0,0,0.267,57,73,3
Ballparks,TBR-TropicanaFld,2,46.0,39,9.0,12,6,0,3,1,0,5,9,1.8,0.308,0.391,0.692,1.084,27.0,0.0,1.0,0,1,0,0,0.321,199,216,3
Ballparks,CHC-Wrigley Fld,1,14.0,13,0.0,0,0,0,0,0,0,1,3,3.0,0.0,0.071,0.0,0.071,0.0,0.0,0.0,0,0,0,0,0.0,-76,-76,0
Ballparks,NYY-Yankee Stad3,15,349.0,332,32.0,76,15,0,12,5,2,14,83,5.93,0.229,0.262,0.383,0.644,127.0,8.0,1.0,1,1,0,1,0.269,81,74,49
By Umpire,Adam Beck,1,21.0,20,5.0,9,3,0,1,0,1,1,2,2.0,0.45,0.476,0.75,1.226,15.0,0.0,0.0,0,0,0,0,0.471,242,226,5
By Umpire,Adam Hamari,1,20.0,20,2.0,5,0,0,1,0,0,0,4,,0.25,0.25,0.4,0.65,8.0,0.0,0.0,0,0,0,0,0.267,81,76,4
By Umpire,Brian Knight,1,23.0,23,0.0,5,0,0,0,0,0,0,6,,0.217,0.217,0.217,0.435,5.0,0.0,0.0,0,0,0,0,0.294,26,27,5
By Umpire,CB Bucknor,1,28.0,26,4.0,8,3,0,0,0,1,2,5,2.5,0.308,0.357,0.423,0.78,11.0,0.0,0.0,0,0,0,0,0.381,124,124,5
By Umpire,Charlie Ramos,1,20.0,17,1.0,3,1,0,1,1,0,3,9,3.0,0.177,0.3,0.412,0.712,7.0,1.0,0.0,0,0,0,0,0.286,101,100,1
By Umpire,Chris Conroy,1,27.0,25,3.0,5,1,0,1,0,0,0,7,,0.2,0.222,0.36,0.582,9.0,0.0,1.0,0,1,0,0,0.222,62,86,3
By Umpire,D.J. Reyburn,1,20.0,19,3.0,7,4,0,1,0,0,1,5,5.0,0.368,0.4,0.737,1.137,14.0,0.0,0.0,0,0,0,0,0.462,213,213,2
By Umpire,Dan Bellino,1,25.0,23,1.0,4,2,0,1,0,0,2,5,2.5,0.174,0.24,0.391,0.631,9.0,0.0,0.0,0,0,0,1,0.177,76,70,1
By Umpire,Edwin Jimenez,1,23.0,22,2.0,3,1,0,0,0,0,1,9,9.0,0.136,0.174,0.182,0.356,4.0,0.0,0.0,0,0,0,0,0.231,3,4,2
By Umpire,Edwin Moscoso,1,23.0,19,5.0,7,4,0,1,1,0,2,4,2.0,0.368,0.435,0.737,1.172,14.0,0.0,1.0,0,1,0,0,0.4,225,230,2
By Umpire,Emil Jimenez,1,22.0,21,4.0,7,1,0,2,0,0,1,4,4.0,0.333,0.364,0.667,1.03,14.0,2.0,0.0,0,0,0,0,0.333,184,176,4
By Umpire,Gabe Morales,1,24.0,23,0.0,3,1,0,0,0,0,0,9,,0.13,0.13,0.174,0.304,4.0,0.0,0.0,1,0,0,0,0.214,-14,-13,2
By Umpire,Hunter Wendelstedt,1,26.0,21,4.0,9,4,0,0,1,0,2,5,2.5,0.429,0.462,0.619,1.081,13.0,0.0,1.0,0,2,0,0,0.5,206,208,5
By Umpire,James Hoye,1,22.0,20,4.0,5,1,0,1,0,0,2,5,2.5,0.25,0.318,0.45,0.768,9.0,0.0,0.0,0,0,0,0,0.286,117,113,3
By Umpire,Jim Wolf,1,24.0,21,0.0,4,1,0,0,0,0,3,6,2.0,0.191,0.292,0.238,0.53,5.0,1.0,0.0,0,0,0,0,0.267,57,59,3
By Umpire,Jonathan Parra,2,46.0,45,3.0,13,2,0,2,0,0,0,16,,0.289,0.289,0.467,0.756,21.0,0.0,0.0,1,0,0,0,0.407,111,114,9
By Umpire,Lance Barksdale,1,23.0,23,0.0,3,0,0,0,0,0,0,4,,0.13,0.13,0.13,0.261,3.0,1.0,0.0,0,0,0,0,0.158,-24,-28,3
By Umpire,Laz Diaz,1,27.0,26,1.0,5,1,0,0,2,0,1,6,6.0,0.192,0.222,0.231,0.453,6.0,0.0,0.0,0,0,0,1,0.25,31,22,4
By Umpire,Manny Gonzalez,1,22.0,20,6.0,8,1,0,3,1,0,2,1,0.5,0.4,0.455,0.9,1.355,18.0,1.0,0.0,0,0,0,0,0.313,271,271,4
By Umpire,Mark Carlson,2,34.0,31,4.0,5,1,0,2,0,1,2,9,4.5,0.161,0.235,0.387,0.622,12.0,0.0,1.0,0,0,0,2,0.15,73,83,2
By Umpire,Marvin Hudson,1,26.0,26,3.0,5,1,0,2,1,0,0,4,,0.192,0.192,0.462,0.654,12.0,0.0,0.0,0,0,0,0,0.15,76,69,2
By Umpire,Nic Lentz,1,19.0,16,0.0,3,1,0,0,0,1,3,6,2.0,0.188,0.316,0.25,0.566,4.0,1.0,0.0,0,0,0,0,0.3,68,58,2
