Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Batting Order Positions,Batting 7th,23,55.0,49,5.0,11,2,0,0,2,0,2,14,7.0,0.225,0.273,0.265,0.538,13.0,2.0,2.0,0,2,0,0,0.297,67,59,9
Batting Order Positions,Batting 8th,23,53.0,51,3.0,7,1,0,1,0,0,1,11,11.0,0.137,0.17,0.216,0.386,11.0,2.0,1.0,0,0,0,0,0.154,17,17,5
Batting Order Positions,Batting 9th,23,49.0,46,9.0,14,2,0,4,1,0,3,9,3.0,0.304,0.347,0.609,0.956,28.0,0.0,0.0,0,0,0,0,0.303,183,202,8
Batting Order Positions,"Bat1-2,non-P",23,136.0,124,11.0,30,4,0,6,0,0,11,28,2.55,0.242,0.309,0.419,0.728,52.0,2.0,1.0,0,0,0,0,0.267,120,94,20
Batting Order Positions,"Bat3-6,non-P",23,248.0,231,23.0,54,10,1,7,9,0,13,66,5.08,0.234,0.278,0.377,0.655,87.0,2.0,2.0,0,2,0,0,0.294,98,78,36
Batting Order Positions,"Bat7-9,non-P",23,157.0,146,17.0,32,5,0,5,3,0,6,34,5.67,0.219,0.261,0.356,0.617,52.0,4.0,3.0,0,2,0,0,0.248,86,87,22
Swung or Took First Pitch of PA,Swung at 1st Pitch,23,173.0,168,23.0,41,5,1,7,,,1,38,38.0,0.244,0.254,0.411,0.665,69.0,3.0,2.0,0,2,0,0,0.272,98,87,28
Swung or Took First Pitch of PA,Took 1st Pitch,23,368.0,333,27.0,75,14,0,11,,,29,90,3.1,0.225,0.294,0.366,0.66,122.0,5.0,4.0,0,2,0,0,0.274,100,84,50
Count/Balls-Strikes,First Pitch,23,63.0,61,12.0,20,3,1,3,,,0,0,,0.328,0.318,0.557,0.875,34.0,1.0,0.0,0,2,0,0,0.283,159,92,13
Count/Balls-Strikes,1-0 Count,17,22.0,22,1.0,8,2,0,0,,,0,0,,0.364,0.364,0.455,0.818,10.0,0.0,0.0,0,0,0,0,0.364,149,86,6
Count/Balls-Strikes,2-0 Count,11,14.0,14,3.0,5,0,0,2,,,0,0,,0.357,0.357,0.786,1.143,11.0,0.0,0.0,0,0,0,0,0.25,233,131,3
Count/Balls-Strikes,3-0 Count,4,6.0,1,1.0,1,0,0,1,,,5,0,0.0,1.0,1.0,4.0,5.0,4.0,0.0,0.0,0,0,0,0,,1306,449,0
Count/Balls-Strikes,0-1 Count,19,60.0,58,3.0,6,0,0,2,,,0,0,,0.103,0.133,0.207,0.34,12.0,1.0,2.0,0,0,0,0,0.071,2,-19,4
Count/Balls-Strikes,1-1 Count,22,55.0,53,4.0,17,6,0,1,,,0,0,,0.321,0.327,0.491,0.818,26.0,0.0,1.0,0,1,0,0,0.302,145,94,10
Count/Balls-Strikes,2-1 Count,9,12.0,12,1.0,3,2,0,0,,,0,0,,0.25,0.25,0.417,0.667,5.0,1.0,0.0,0,0,0,0,0.25,98,45,1
Count/Balls-Strikes,3-1 Count,10,16.0,8,0.0,1,0,0,0,,,8,0,0.0,0.125,0.563,0.125,0.688,1.0,0.0,0.0,0,0,0,0,0.125,133,0,1
Count/Balls-Strikes,0-2 Count,19,60.0,59,2.0,10,0,0,2,,,0,32,,0.17,0.183,0.271,0.455,16.0,1.0,1.0,0,0,0,0,0.32,36,137,8
Count/Balls-Strikes,1-2 Count,23,93.0,91,12.0,22,2,0,5,,,0,45,,0.242,0.247,0.429,0.676,39.0,2.0,1.0,0,1,0,0,0.405,101,220,15
Count/Balls-Strikes,2-2 Count,23,78.0,77,7.0,15,3,0,1,,,0,34,,0.195,0.205,0.273,0.478,21.0,1.0,1.0,0,0,0,0,0.333,45,116,11
Count/Balls-Strikes,Full Count,20,62.0,45,4.0,8,1,0,1,,,17,17,1.0,0.178,0.403,0.267,0.67,12.0,1.0,0.0,0,0,0,0,0.259,114,69,6
Count/Balls-Strikes,After 1-0,23,203.0,180,22.0,53,10,0,9,,,19,39,2.05,0.294,0.365,0.5,0.865,90.0,3.0,2.0,0,2,0,0,0.328,161,114,34
