Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Batting Order Positions,"Bat3-6,non-P",18,185.0,167,40.0,55,19,1,7,4,2,16,28,1.75,0.329,0.389,0.581,0.97,97.0,1.0,1.0,0,1,1,0,0.361,124,162,28
Batting Order Positions,"Bat7-9,non-P",18,116.0,106,7.0,30,6,1,1,2,1,10,22,2.2,0.283,0.345,0.387,0.732,41.0,2.0,0.0,0,0,0,0,0.349,73,124,22
Swung or Took First Pitch of PA,Swung at 1st Pitch,18,139.0,132,19.0,39,14,0,2,,,6,22,3.67,0.296,0.331,0.447,0.778,59.0,1.0,1.0,0,0,0,0,0.343,81,123,23
Swung or Took First Pitch of PA,Took 1st Pitch,18,265.0,233,40.0,74,17,2,8,,,29,41,1.41,0.318,0.39,0.511,0.901,119.0,7.0,0.0,0,2,1,0,0.355,110,151,47
Count/Balls-Strikes,First Pitch,18,63.0,63,9.0,21,7,0,1,,,0,0,,0.333,0.333,0.492,0.825,31.0,1.0,0.0,0,0,0,0,0.323,91,85,13
Count/Balls-Strikes,1-0 Count,16,28.0,28,4.0,8,1,0,1,,,0,0,,0.286,0.286,0.429,0.714,12.0,0.0,0.0,0,0,0,0,0.259,65,59,6
Count/Balls-Strikes,2-0 Count,8,11.0,11,1.0,5,2,0,0,,,0,0,,0.455,0.455,0.636,1.091,7.0,0.0,0.0,0,0,0,0,0.455,153,134,3
Count/Balls-Strikes,3-0 Count,8,10.0,2,0.0,1,0,0,0,,,8,0,0.0,0.5,0.9,0.5,1.4,1.0,0.0,0.0,0,0,1,0,0.5,246,52,1
Count/Balls-Strikes,0-1 Count,16,45.0,44,13.0,17,5,2,1,,,0,0,,0.386,0.378,0.659,1.037,29.0,1.0,0.0,0,1,0,0,0.364,137,143,9
Count/Balls-Strikes,1-1 Count,16,35.0,33,11.0,17,4,0,2,,,0,0,,0.515,0.514,0.818,1.333,27.0,0.0,1.0,0,1,0,0,0.469,207,214,11
Count/Balls-Strikes,2-1 Count,11,21.0,21,2.0,7,1,0,1,,,0,0,,0.333,0.333,0.524,0.857,11.0,1.0,0.0,0,0,0,0,0.3,97,87,5
Count/Balls-Strikes,3-1 Count,11,16.0,4,0.0,2,0,0,0,,,12,0,0.0,0.5,0.875,0.5,1.375,2.0,0.0,0.0,0,0,0,0,0.5,239,104,2
Count/Balls-Strikes,0-2 Count,12,21.0,21,2.0,3,1,0,0,,,0,10,,0.143,0.143,0.191,0.333,4.0,2.0,0.0,0,0,0,0,0.273,-22,75,2
Count/Balls-Strikes,1-2 Count,18,52.0,52,6.0,9,2,0,1,,,0,24,,0.173,0.173,0.269,0.442,14.0,2.0,0.0,0,0,0,0,0.296,2,112,6
Count/Balls-Strikes,2-2 Count,15,48.0,48,3.0,12,5,0,0,,,0,17,,0.25,0.25,0.354,0.604,17.0,0.0,0.0,0,0,0,0,0.387,40,171,7
