Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Pitch Count,Pitch 101+,1,2.0,2,0.0,1,0,0,0,,,0,0,,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0,0,0,0,0.5,146,220,1
Days of Rest,"4 Days,GS",5,118.0,111,15.0,34,4,2,6,2,1,6,23,3.83,0.306,0.348,0.541,0.888,60.0,4.0,1.0,0,0,0,1,0.342,110,142,22
Days of Rest,"5 Days,GS",6,139.0,125,25.0,38,5,2,4,3,2,12,26,2.17,0.304,0.36,0.472,0.832,59.0,1.0,0.0,0,2,0,2,0.351,100,133,27
Days of Rest,"6+ Days,GS",4,89.0,83,15.0,23,5,1,3,1,0,5,13,2.6,0.277,0.318,0.47,0.788,39.0,2.0,0.0,1,0,0,1,0.299,87,112,14
Hit Location,To Infield,15,114.0,113,8.0,9,0,0,0,0,0,0,0,,0.08,0.08,0.08,0.159,9.0,7.0,0.0,1,0,0,3,0.08,-61,95,9
Hit Location,To Outfield,15,146.0,144,43.0,86,14,5,13,0,0,0,0,,0.597,0.589,1.035,1.624,149.0,0.0,0.0,0,2,0,1,0.549,280,126,54
Hit Location,Ball In Play,15,247.0,244,34.0,82,14,5,0,0,0,0,0,,0.336,0.333,0.434,0.768,106.0,7.0,0.0,1,2,0,4,0.333,84,131,63
Hit Location,Not in Play,15,99.0,75,17.0,13,0,0,13,0,0,23,62,2.7,0.173,0.374,0.693,1.067,52.0,0.0,1.0,0,0,0,0,,148,153,0
Hit Location,Fair Terr,15,255.0,252,51.0,95,14,5,13,0,0,0,0,,0.377,0.374,0.627,1.001,158.0,7.0,0.0,1,2,0,4,0.34,135,127,63
Hit Location,Foul Terr,5,5.0,5,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,,0
Hit Location,Pulled-RHB,15,72.0,72,18.0,24,5,0,6,0,0,0,0,,0.333,0.333,0.653,0.986,47.0,2.0,0.0,0,0,0,3,0.273,128,67,13
Hit Location,Up Mdle-RHB,15,116.0,114,25.0,42,4,2,6,0,0,0,0,,0.368,0.365,0.597,0.962,68.0,4.0,0.0,1,1,0,1,0.33,126,154,30
Hit Location,Opp Fld-RHB,12,38.0,37,4.0,18,4,2,1,0,0,0,0,,0.487,0.474,0.784,1.258,29.0,0.0,0.0,0,1,0,0,0.46,196,259,11
Hit Location,Pulled-LHB,10,15.0,15,2.0,5,1,1,0,0,0,0,0,,0.333,0.333,0.533,0.867,8.0,1.0,0.0,0,0,0,0,0.333,104,79,3
Hit Location,Up Mdle-LHB,9,15.0,15,2.0,5,0,0,0,0,0,0,0,,0.333,0.333,0.333,0.667,5.0,0.0,0.0,0,0,0,0,0.333,64,72,5
Hit Location,Opp Fld-LHB,3,3.0,3,0.0,1,0,0,0,0,0,0,0,,0.333,0.333,0.333,0.667,1.0,0.0,0.0,0,0,0,0,0.333,64,86,1
Hit Location,Unknown Loc,1,1.0,1,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Hit Trajectory,Ground Balls,15,107.0,107,11.0,28,4,0,0,0,0,0,0,,0.262,0.262,0.299,0.561,32.0,7.0,0.0,0,0,0,4,0.262,36,118,24
Hit Trajectory,Fly Balls,15,74.0,72,19.0,18,0,2,11,0,0,0,0,,0.25,0.243,0.764,1.007,55.0,0.0,0.0,0,2,0,0,0.111,125,144,5
Hit Trajectory,Line Drives,15,77.0,77,21.0,49,10,3,2,0,0,0,0,,0.636,0.636,0.922,1.559,71.0,0.0,0.0,0,0,0,0,0.627,271,107,34
Hit Trajectory,Bunts,2,2.0,1,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,-100,-100,0
Opponent,Inter-League,5,131.0,123,12.0,32,4,1,4,1,2,7,20,2.86,0.26,0.3,0.407,0.707,50.0,4.0,0.0,1,0,0,2,0.283,69,100,23
Opponent,Los Angeles Angels,1,25.0,25,1.0,6,0,0,1,0,1,0,6,,0.24,0.24,0.36,0.6,9.0,1.0,0.0,0,0,0,0,0.278,42,75,5
Opponent,Arizona Diamondbacks,2,41.0,37,14.0,16,2,0,1,1,0,3,4,1.33,0.432,0.463,0.568,1.031,21.0,1.0,0.0,0,1,0,1,0.455,149,170,13
Opponent,Atlanta Braves,1,15.0,14,3.0,4,0,0,2,0,0,1,1,1.0,0.286,0.333,0.714,1.048,10.0,1.0,0.0,0,0,0,0,0.182,141,181,2
Opponent,Chicago Cubs,1,23.0,19,7.0,9,1,1,2,1,0,3,2,0.67,0.474,0.565,0.947,1.513,18.0,0.0,1.0,0,0,0,0,0.467,255,328,5
Opponent,Chicago White Sox,1,28.0,25,2.0,7,1,0,1,0,0,2,3,1.5,0.28,0.333,0.44,0.773,11.0,1.0,0.0,1,0,0,0,0.286,85,148,5
Opponent,Cincinnati Reds,1,27.0,26,2.0,8,2,0,1,1,0,1,9,9.0,0.308,0.333,0.5,0.833,13.0,1.0,0.0,0,0,0,0,0.438,98,135,5
Opponent,Kansas City Royals,1,28.0,27,2.0,7,1,1,0,0,0,1,5,5.0,0.259,0.286,0.37,0.656,10.0,1.0,0.0,0,0,0,1,0.318,58,79,5
Opponent,New York Mets,1,20.0,18,3.0,4,1,0,0,0,0,2,7,3.5,0.222,0.3,0.278,0.578,5.0,0.0,0.0,0,0,0,0,0.364,43,60,3
Opponent,New York Yankees,1,27.0,25,3.0,5,1,0,2,0,0,2,3,1.5,0.2,0.259,0.48,0.739,12.0,1.0,0.0,0,0,0,1,0.15,72,87,2
Opponent,San Diego Padres,1,24.0,21,5.0,8,2,0,0,1,1,3,3,1.0,0.381,0.458,0.476,0.935,10.0,0.0,0.0,0,0,0,0,0.444,129,154,6
Opponent,San Francisco Giants,2,45.0,42,9.0,13,2,3,3,1,0,2,12,6.0,0.31,0.333,0.714,1.048,30.0,0.0,0.0,0,1,0,1,0.357,141,187,5
Opponent,Toronto Blue Jays,1,23.0,21,4.0,7,1,0,0,1,1,2,3,1.5,0.333,0.391,0.381,0.772,8.0,0.0,0.0,0,0,0,0,0.389,90,122,6
Opponent,Washington Nationals,1,20.0,19,0.0,1,0,0,0,0,0,1,4,4.0,0.053,0.1,0.053,0.153,1.0,0.0,0.0,0,0,0,0,0.067,-60,-54,1
Opponent,WP,6,146.0,135,16.0,38,5,1,5,3,2,9,27,3.0,0.282,0.331,0.444,0.775,60.0,3.0,1.0,1,0,0,0,0.32,86,126,27
Opponent,WP >= .500,9,200.0,184,39.0,57,9,4,8,3,1,14,35,2.5,0.31,0.355,0.533,0.888,98.0,4.0,0.0,0,2,0,4,0.343,111,140,36
Game Conditions,Night,11,260.0,240,46.0,76,12,5,10,5,2,17,51,3.0,0.317,0.362,0.533,0.895,128.0,5.0,1.0,0,2,0,4,0.365,113,148,49
Game Conditions,Day,4,86.0,79,9.0,19,2,0,3,1,1,6,11,1.83,0.241,0.294,0.38,0.674,30.0,2.0,0.0,1,0,0,0,0.246,62,89,14
Game Conditions,Open,13,306.0,282,41.0,78,11,5,12,5,2,20,57,2.85,0.277,0.325,0.479,0.803,135.0,6.0,1.0,1,2,0,4,0.307,91,123,50
Game Conditions,Retract,2,40.0,37,14.0,17,3,0,1,1,1,3,5,1.67,0.46,0.5,0.622,1.122,23.0,1.0,0.0,0,0,0,0,0.516,171,216,13
Game Conditions,Grass,13,306.0,282,41.0,78,11,5,12,5,2,20,57,2.85,0.277,0.325,0.479,0.803,135.0,6.0,1.0,1,2,0,4,0.307,91,124,50
Game Conditions,Artif. Turf,2,40.0,37,14.0,17,3,0,1,1,1,3,5,1.67,0.46,0.5,0.622,1.122,23.0,1.0,0.0,0,0,0,0,0.516,171,216,13
Ballparks,LAA-Angel Stad,1,25.0,25,1.0,6,0,0,1,0,1,0,6,,0.24,0.24,0.36,0.6,9.0,1.0,0.0,0,0,0,0,0.278,42,66,5
Ballparks,ARI-Chase Field,1,17.0,16,10.0,10,2,0,1,0,0,1,2,2.0,0.625,0.647,0.938,1.585,15.0,1.0,0.0,0,0,0,0,0.692,277,312,7
Ballparks,COL-Coors Fld,7,155.0,143,20.0,35,6,2,3,3,1,11,26,2.36,0.245,0.297,0.378,0.674,54.0,2.0,0.0,0,1,0,3,0.278,63,71,24
Ballparks,CIN-GreatAmer BP,1,27.0,26,2.0,8,2,0,1,1,0,1,9,9.0,0.308,0.333,0.5,0.833,13.0,1.0,0.0,0,0,0,0,0.438,98,126,5
Ballparks,CHW-Guaranteed,1,28.0,25,2.0,7,1,0,1,0,0,2,3,1.5,0.28,0.333,0.44,0.773,11.0,1.0,0.0,1,0,0,0,0.286,85,123,5
Ballparks,SFG-Oracle Park,1,21.0,19,6.0,8,0,2,2,0,0,1,8,8.0,0.421,0.429,0.947,1.376,18.0,0.0,0.0,0,1,0,0,0.6,216,285,4
Ballparks,TOR-Rogers Ctr,1,23.0,21,4.0,7,1,0,0,1,1,2,3,1.5,0.333,0.391,0.381,0.772,8.0,0.0,0.0,0,0,0,0,0.389,90,119,6
Ballparks,CHC-Wrigley Fld,1,23.0,19,7.0,9,1,1,2,1,0,3,2,0.67,0.474,0.565,0.947,1.513,18.0,0.0,1.0,0,0,0,0,0.467,255,349,5
Ballparks,NYY-Yankee Stad3,1,27.0,25,3.0,5,1,0,2,0,0,2,3,1.5,0.2,0.259,0.48,0.739,12.0,1.0,0.0,0,0,0,1,0.15,72,97,2
By Umpire,Chris Conroy,1,24.0,23,3.0,5,2,1,1,1,0,1,4,4.0,0.217,0.25,0.522,0.772,12.0,0.0,0.0,0,0,0,1,0.222,78,130,1
By Umpire,Chris Segal,1,28.0,27,2.0,7,1,1,0,0,0,1,5,5.0,0.259,0.286,0.37,0.656,10.0,1.0,0.0,0,0,0,1,0.318,58,75,5
By Umpire,Dan Bellino,1,17.0,16,10.0,10,2,0,1,0,0,1,2,2.0,0.625,0.647,0.938,1.585,15.0,1.0,0.0,0,0,0,0,0.692,277,326,7
By Umpire,Dan Iassogna,1,23.0,19,7.0,9,1,1,2,1,0,3,2,0.67,0.474,0.565,0.947,1.513,18.0,0.0,1.0,0,0,0,0,0.467,255,349,5
By Umpire,Doug Eddings,1,20.0,19,0.0,1,0,0,0,0,0,1,4,4.0,0.053,0.1,0.053,0.153,1.0,0.0,0.0,0,0,0,0,0.067,-60,-51,1
By Umpire,Emil Jimenez,1,27.0,26,2.0,8,2,0,1,1,0,1,9,9.0,0.308,0.333,0.5,0.833,13.0,1.0,0.0,0,0,0,0,0.438,98,125,5
By Umpire,Hunter Wendelstedt,1,27.0,25,3.0,5,1,0,2,0,0,2,3,1.5,0.2,0.259,0.48,0.739,12.0,1.0,0.0,0,0,0,1,0.15,72,109,2
By Umpire,Jeremy Riggs,1,24.0,21,5.0,8,2,0,0,1,1,3,3,1.0,0.381,0.458,0.476,0.935,10.0,0.0,0.0,0,0,0,0,0.444,129,175,6
By Umpire,Junior Valentine,1,15.0,14,3.0,4,0,0,2,0,0,1,1,1.0,0.286,0.333,0.714,1.048,10.0,1.0,0.0,0,0,0,0,0.182,141,183,2
By Umpire,Mark Carlson,1,28.0,25,2.0,7,1,0,1,0,0,2,3,1.5,0.28,0.333,0.44,0.773,11.0,1.0,0.0,1,0,0,0,0.286,85,128,5
By Umpire,Nic Lentz,1,24.0,21,4.0,6,0,0,0,1,0,2,2,1.0,0.286,0.333,0.286,0.619,6.0,0.0,0.0,0,1,0,1,0.3,54,68,6
By Umpire,Roberto Ortiz,1,20.0,18,3.0,4,1,0,0,0,0,2,7,3.5,0.222,0.3,0.278,0.578,5.0,0.0,0.0,0,0,0,0,0.364,43,67,3
By Umpire,Todd Tichenor,1,23.0,21,4.0,7,1,0,0,1,1,2,3,1.5,0.333,0.391,0.381,0.772,8.0,0.0,0.0,0,0,0,0,0.389,90,128,6
By Umpire,Tony Randazzo,1,25.0,25,1.0,6,0,0,1,0,1,0,6,,0.24,0.24,0.36,0.6,9.0,1.0,0.0,0,0,0,0,0.278,42,76,5
By Umpire,Tripp Gibson,1,21.0,19,6.0,8,0,2,2,0,0,1,8,8.0,0.421,0.429,0.947,1.376,18.0,0.0,0.0,0,1,0,0,0.6,216,281,4
